dataset_id,language,name_native,name_english,display_name,translation_status,category,pokemon_types,hp,stage,evolves_from_native,collector_number,set_total,set_id,set_name_native,set_name_english,rarity,illustrator,pokedex_numbers,regulation_mark,available_finishes,release_date,source_record,source_url
en-base1-16,en,Zapdos,Zapdos,Zapdos,native_english,Pokemon,Lightning,90,Basic,,16,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/16.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/16.ts
en-base1-17,en,Beedrill,Beedrill,Beedrill,native_english,Pokemon,Grass,80,Stage2,Kakuna,17,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/17.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/17.ts
en-base1-18,en,Dragonair,Dragonair,Dragonair,native_english,Pokemon,Colorless,80,Stage1,Dratini,18,102,base1,Base Set,Base Set,Rare,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/18.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/18.ts
en-base1-19,en,Dugtrio,Dugtrio,Dugtrio,native_english,Pokemon,Fighting,70,Stage1,Diglett,19,102,base1,Base Set,Base Set,Rare,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/19.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/19.ts
en-base1-2,en,Blastoise,Blastoise,Blastoise,native_english,Pokemon,Water,100,Stage2,Wartortle,2,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/2.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/2.ts
en-base1-20,en,Electabuzz,Electabuzz,Electabuzz,native_english,Pokemon,Lightning,70,Basic,,20,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/20.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/20.ts
en-base1-21,en,Electrode,Electrode,Electrode,native_english,Pokemon,Lightning,80,Stage1,Voltorb,21,102,base1,Base Set,Base Set,Rare,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/21.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/21.ts
en-base1-22,en,Pidgeotto,Pidgeotto,Pidgeotto,native_english,Pokemon,Colorless,60,Stage1,Pidgey,22,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/22.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/22.ts
en-base1-23,en,Arcanine,Arcanine,Arcanine,native_english,Pokemon,Fire,100,Stage1,Growlithe,23,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/23.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/23.ts
en-base1-24,en,Charmeleon,Charmeleon,Charmeleon,native_english,Pokemon,Fire,80,Stage1,Charmander,24,102,base1,Base Set,Base Set,Uncommon,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/24.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/24.ts
en-base1-25,en,Dewgong,Dewgong,Dewgong,native_english,Pokemon,Water,80,Stage1,Seel,25,102,base1,Base Set,Base Set,Uncommon,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/25.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/25.ts
en-base1-26,en,Dratini,Dratini,Dratini,native_english,Pokemon,Colorless,40,Basic,,26,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/26.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/26.ts
en-base1-27,en,Farfetch'd,Farfetch'd,Farfetch'd,native_english,Pokemon,Colorless,50,Basic,,27,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/27.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/27.ts
en-base1-28,en,Growlithe,Growlithe,Growlithe,native_english,Pokemon,Fire,60,Basic,,28,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/28.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/28.ts
en-base1-29,en,Haunter,Haunter,Haunter,native_english,Pokemon,Psychic,60,Stage1,Gastly,29,102,base1,Base Set,Base Set,Uncommon,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/29.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/29.ts
en-base1-3,en,Chansey,Chansey,Chansey,native_english,Pokemon,Colorless,120,Basic,,3,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/3.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/3.ts
en-base1-30,en,Ivysaur,Ivysaur,Ivysaur,native_english,Pokemon,Grass,60,Stage1,Bulbasaur,30,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/30.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/30.ts
en-base1-31,en,Jynx,Jynx,Jynx,native_english,Pokemon,Psychic,70,Basic,,31,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/31.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/31.ts
en-base1-32,en,Kadabra,Kadabra,Kadabra,native_english,Pokemon,Psychic,60,Stage1,Abra,32,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/32.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/32.ts
en-base1-33,en,Kakuna,Kakuna,Kakuna,native_english,Pokemon,Grass,80,Stage1,Weedle,33,102,base1,Base Set,Base Set,Uncommon,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/33.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/33.ts
en-base1-34,en,Machoke,Machoke,Machoke,native_english,Pokemon,Fighting,80,Stage1,Machop,34,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/34.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/34.ts
en-base1-35,en,Magikarp,Magikarp,Magikarp,native_english,Pokemon,Water,30,Basic,,35,102,base1,Base Set,Base Set,Uncommon,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/35.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/35.ts
en-base1-36,en,Magmar,Magmar,Magmar,native_english,Pokemon,Fire,50,Basic,,36,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/36.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/36.ts
en-base1-37,en,Nidorino,Nidorino,Nidorino,native_english,Pokemon,Grass,60,Stage1,Nidoran♂,37,102,base1,Base Set,Base Set,Uncommon,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/37.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/37.ts
en-base1-38,en,Poliwhirl,Poliwhirl,Poliwhirl,native_english,Pokemon,Water,60,Stage1,Poliwag,38,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/38.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/38.ts
en-base1-39,en,Porygon,Porygon,Porygon,native_english,Pokemon,Colorless,30,Basic,,39,102,base1,Base Set,Base Set,Uncommon,Tomoaki Imakuni,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/39.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/39.ts
en-base1-4,en,Charizard,Charizard,Charizard,native_english,Pokemon,Fire,120,Stage2,Charmeleon,4,102,base1,Base Set,Base Set,Rare,Mitsuhiro Arita,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/4.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/4.ts
en-base1-40,en,Raticate,Raticate,Raticate,native_english,Pokemon,Colorless,60,Stage1,Rattata,40,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/40.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/40.ts
en-base1-41,en,Seel,Seel,Seel,native_english,Pokemon,Water,60,Basic,,41,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/41.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/41.ts
en-base1-42,en,Wartortle,Wartortle,Wartortle,native_english,Pokemon,Water,70,Stage1,Squirtle,42,102,base1,Base Set,Base Set,Uncommon,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/42.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/42.ts
en-base1-43,en,Abra,Abra,Abra,native_english,Pokemon,Psychic,30,Basic,,43,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/43.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/43.ts
en-base1-44,en,Bulbasaur,Bulbasaur,Bulbasaur,native_english,Pokemon,Grass,40,Basic,,44,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright|normal,,data/Base/Base Set/44.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/44.ts
en-base1-45,en,Caterpie,Caterpie,Caterpie,native_english,Pokemon,Grass,40,Basic,,45,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/45.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/45.ts
en-base1-46,en,Charmander,Charmander,Charmander,native_english,Pokemon,Fire,50,Basic,,46,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright|normal,,data/Base/Base Set/46.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/46.ts
en-base1-47,en,Diglett,Diglett,Diglett,native_english,Pokemon,Fighting,30,Basic,,47,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/47.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/47.ts
en-base1-48,en,Doduo,Doduo,Doduo,native_english,Pokemon,Colorless,50,Basic,,48,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/48.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/48.ts
en-base1-49,en,Drowzee,Drowzee,Drowzee,native_english,Pokemon,Psychic,50,Basic,,49,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/49.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/49.ts
en-base1-5,en,Clefairy,Clefairy,Clefairy,native_english,Pokemon,Colorless,40,Basic,,5,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/5.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/5.ts
en-base1-50,en,Gastly,Gastly,Gastly,native_english,Pokemon,Psychic,30,Basic,,50,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/50.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/50.ts
en-base1-51,en,Koffing,Koffing,Koffing,native_english,Pokemon,Grass,50,Basic,,51,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/51.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/51.ts
en-base1-52,en,Machop,Machop,Machop,native_english,Pokemon,Fighting,50,Basic,,52,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/52.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/52.ts
en-base1-53,en,Magnemite,Magnemite,Magnemite,native_english,Pokemon,Lightning,40,Basic,,53,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/53.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/53.ts
en-base1-54,en,Metapod,Metapod,Metapod,native_english,Pokemon,Grass,70,Stage1,Caterpie,54,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/54.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/54.ts
en-base1-55,en,Nidoran♂,Nidoran♂,Nidoran♂,native_english,Pokemon,Grass,40,Basic,,55,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/55.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/55.ts
en-base1-56,en,Onix,Onix,Onix,native_english,Pokemon,Fighting,90,Basic,,56,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/56.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/56.ts
en-base1-57,en,Pidgey,Pidgey,Pidgey,native_english,Pokemon,Colorless,40,Basic,,57,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/57.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/57.ts
en-base1-58,en,Pikachu,Pikachu,Pikachu,native_english,Pokemon,Lightning,40,Basic,,58,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|shadowless-red-cheek|normal|shadowless-red-cheek|normal|1999-2000-copyright|normal|normal|unlimited,,data/Base/Base Set/58.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/58.ts
en-base1-59,en,Poliwag,Poliwag,Poliwag,native_english,Pokemon,Water,40,Basic,,59,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/59.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/59.ts
en-base1-6,en,Gyarados,Gyarados,Gyarados,native_english,Pokemon,Water,100,Stage1,Magikarp,6,102,base1,Base Set,Base Set,Rare,Mitsuhiro Arita,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/6.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/6.ts
en-base1-60,en,Ponyta,Ponyta,Ponyta,native_english,Pokemon,Fire,40,Basic,,60,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/60.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/60.ts
en-base1-61,en,Rattata,Rattata,Rattata,native_english,Pokemon,Colorless,30,Basic,,61,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/61.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/61.ts
en-base1-62,en,Sandshrew,Sandshrew,Sandshrew,native_english,Pokemon,Fighting,40,Basic,,62,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/62.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/62.ts
en-base1-63,en,Squirtle,Squirtle,Squirtle,native_english,Pokemon,Water,40,Basic,,63,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright|normal,,data/Base/Base Set/63.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/63.ts
en-base1-64,en,Starmie,Starmie,Starmie,native_english,Pokemon,Water,60,Stage1,Staryu,64,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/64.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/64.ts
en-base1-65,en,Staryu,Staryu,Staryu,native_english,Pokemon,Water,40,Basic,,65,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/65.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/65.ts
en-base1-66,en,Tangela,Tangela,Tangela,native_english,Pokemon,Grass,50,Basic,,66,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/66.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/66.ts
en-base1-67,en,Voltorb,Voltorb,Voltorb,native_english,Pokemon,Lightning,40,Basic,,67,102,base1,Base Set,Base Set,Common,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/67.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/67.ts
en-base1-68,en,Vulpix,Vulpix,Vulpix,native_english,Pokemon,Fire,50,Basic,,68,102,base1,Base Set,Base Set,Common,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/68.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/68.ts
en-base1-69,en,Weedle,Weedle,Weedle,native_english,Pokemon,Grass,40,Basic,,69,102,base1,Base Set,Base Set,Common,Mitsuhiro Arita,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/69.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/69.ts
en-base1-7,en,Hitmonchan,Hitmonchan,Hitmonchan,native_english,Pokemon,Fighting,70,Basic,,7,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,holo|unlimited|holo|shadowless|holo|shadowless|holo|1999-2000-copyright,,data/Base/Base Set/7.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/7.ts
en-base1-70,en,Clefairy Doll,Clefairy Doll,Clefairy Doll,native_english,Trainer,,10,,,70,102,base1,Base Set,Base Set,Rare,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/70.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/70.ts
en-base1-71,en,Computer Search,Computer Search,Computer Search,native_english,Trainer,,,,,71,102,base1,Base Set,Base Set,Rare,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/71.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/71.ts
en-base1-72,en,Devolution Spray,Devolution Spray,Devolution Spray,native_english,Trainer,,,,,72,102,base1,Base Set,Base Set,Rare,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/72.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/72.ts
en-base1-73,en,Impostor Professor Oak,Impostor Professor Oak,Impostor Professor Oak,native_english,Trainer,,,,,73,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/73.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/73.ts
en-base1-74,en,Item Finder,Item Finder,Item Finder,native_english,Trainer,,,,,74,102,base1,Base Set,Base Set,Rare,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/74.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/74.ts
en-base1-75,en,Lass,Lass,Lass,native_english,Trainer,,,,,75,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/75.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/75.ts
en-base1-76,en,Pokémon Breeder,Pokémon Breeder,Pokémon Breeder,native_english,Trainer,,,,,76,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/76.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/76.ts
en-base1-77,en,Pokémon Trader,Pokémon Trader,Pokémon Trader,native_english,Trainer,,,,,77,102,base1,Base Set,Base Set,Rare,Ken Sugimori,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/77.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/77.ts
en-base1-78,en,Scoop Up,Scoop Up,Scoop Up,native_english,Trainer,,,,,78,102,base1,Base Set,Base Set,Rare,Keiji Kinebuchi,,,normal|unlimited|normal|shadowless|normal|shadowless|normal|1999-2000-copyright,,data/Base/Base Set/78.ts,https://github.com/tcgdex/cards-database/blob/master/data/Base/Base Set/78.ts
