dataset_id,language,name_native,name_english,display_name,translation_status,category,pokemon_types,hp,stage,evolves_from_native,collector_number,set_total,set_id,set_name_native,set_name_english,rarity,illustrator,pokedex_numbers,regulation_mark,available_finishes,release_date,source_record,source_url
ja-M-P-018,ja,ホゲータ,Fuecoco,ホゲータ (Fuecoco),verified_name_map,Pokemon,Fire,80,Basic,,018,0,M-P,メガ プロモカード,,Promo,Tomomi Ozaki,,H,normal,2025-07-28,data-asia/M/M-P/018.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/018.ts
ja-M-P-019,ja,クワッス,Quaxly,クワッス (Quaxly),verified_name_map,Pokemon,Water,60,Basic,,019,0,M-P,メガ プロモカード,,Promo,Saboteri,,H,normal,2025-07-28,data-asia/M/M-P/019.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/019.ts
ja-M-P-020,ja,ピカチュウ,Pikachu,ピカチュウ (Pikachu),verified_name_map,Pokemon,Lightning,70,Basic,,020,0,M-P,メガ プロモカード,,Promo,Yuu Nishida,,H,normal,2025-07-28,data-asia/M/M-P/020.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/020.ts
ja-M-P-021,ja,ラルトス,Ralts,ラルトス (Ralts),verified_name_map,Pokemon,Psychic,70,Basic,,021,0,M-P,メガ プロモカード,,Promo,Terada Tera,,I,normal,2025-07-28,data-asia/M/M-P/021.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/021.ts
ja-M-P-022,ja,リオル,Riolu,リオル (Riolu),verified_name_map,Pokemon,Fighting,80,Basic,,022,0,M-P,メガ プロモカード,,Promo,hncl,,I,normal,2025-07-28,data-asia/M/M-P/022.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/022.ts
ja-M-P-023,ja,基本草エネルギー,Basic Grass Energy,基本草エネルギー (Basic Grass Energy),pokeapi_term_map,Energy,,,,,023,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/023.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/023.ts
ja-M-P-024,ja,基本炎エネルギー,Basic Fire Energy,基本炎エネルギー (Basic Fire Energy),pokeapi_term_map,Energy,,,,,024,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/024.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/024.ts
ja-M-P-025,ja,基本水エネルギー,Basic Water Energy,基本水エネルギー (Basic Water Energy),pokeapi_term_map,Energy,,,,,025,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/025.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/025.ts
ja-M-P-026,ja,基本雷エネルギー,Basic Lightning Energy,基本雷エネルギー (Basic Lightning Energy),pokeapi_term_map,Energy,,,,,026,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/026.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/026.ts
ja-M-P-027,ja,基本超エネルギー,Basic Psychic Energy,基本超エネルギー (Basic Psychic Energy),pokeapi_term_map,Energy,,,,,027,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/027.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/027.ts
ja-M-P-028,ja,基本闘エネルギー,Basic Fighting Energy,基本闘エネルギー (Basic Fighting Energy),pokeapi_term_map,Energy,,,,,028,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/028.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/028.ts
ja-M-P-029,ja,基本悪エネルギー,Basic Darkness Energy,基本悪エネルギー (Basic Darkness Energy),pokeapi_term_map,Energy,,,,,029,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/029.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/029.ts
ja-M-P-030,ja,基本鋼エネルギー,Basic Metal Energy,基本鋼エネルギー (Basic Metal Energy),pokeapi_term_map,Energy,,,,,030,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/030.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/030.ts
ja-M-P-031,ja,夜のタンカ,,夜のタンカ (English translation unavailable),untranslated,Trainer,,,,,031,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,H,normal,2025-07-28,data-asia/M/M-P/031.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/031.ts
ja-M-P-032,ja,ラティアスex,Latias ex,ラティアスex (Latias ex),verified_name_map_with_suffix,Pokemon,Psychic,210,Basic,,032,0,M-P,メガ プロモカード,,Promo,takuyoa,,H,normal,2025-07-28,data-asia/M/M-P/032.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/032.ts
ja-M-P-033,ja,おいわいファンファーレ,,おいわいファンファーレ (English translation unavailable),untranslated,Trainer,,,,,033,0,M-P,メガ プロモカード,,Promo,Yuu Nishida,,I,normal,2025-07-28,data-asia/M/M-P/033.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/033.ts
ja-M-P-034,ja,シェイミ,Shaymin,シェイミ (Shaymin),verified_name_map,Pokemon,Grass,80,Basic,,034,0,M-P,メガ プロモカード,,Promo,tono,,I,normal,2025-07-28,data-asia/M/M-P/034.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/034.ts
ja-M-P-035,ja,基本草エネルギー,Basic Grass Energy,基本草エネルギー (Basic Grass Energy),pokeapi_term_map,Energy,,,,,035,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/035.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/035.ts
ja-M-P-036,ja,基本炎エネルギー,Basic Fire Energy,基本炎エネルギー (Basic Fire Energy),pokeapi_term_map,Energy,,,,,036,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/036.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/036.ts
ja-M-P-037,ja,基本水エネルギー,Basic Water Energy,基本水エネルギー (Basic Water Energy),pokeapi_term_map,Energy,,,,,037,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/037.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/037.ts
ja-M-P-038,ja,基本雷エネルギー,Basic Lightning Energy,基本雷エネルギー (Basic Lightning Energy),pokeapi_term_map,Energy,,,,,038,0,M-P,メガ プロモカード,,Promo,,,,normal,2025-07-28,data-asia/M/M-P/038.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/038.ts
ja-M-P-039,ja,基本超エネルギー,Basic Psychic Energy,基本超エネルギー (Basic Psychic Energy),pokeapi_term_map,Energy,,,,,039,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/039.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/039.ts
ja-M-P-040,ja,基本闘エネルギー,Basic Fighting Energy,基本闘エネルギー (Basic Fighting Energy),pokeapi_term_map,Energy,,,,,040,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/040.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/040.ts
ja-M-P-041,ja,基本悪エネルギー,Basic Darkness Energy,基本悪エネルギー (Basic Darkness Energy),pokeapi_term_map,Energy,,,,,041,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/041.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/041.ts
ja-M-P-042,ja,基本鋼エネルギー,Basic Metal Energy,基本鋼エネルギー (Basic Metal Energy),pokeapi_term_map,Energy,,,,,042,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/042.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/042.ts
ja-M-P-043,ja,ロケット団のミュウツーex,Mewtwo,ロケット団のミュウツーex (Mewtwo; species only),species_name_only,Pokemon,Psychic,280,Basic,,043,0,M-P,メガ プロモカード,,Promo,aky CG Works,,I,normal,2025-07-28,data-asia/M/M-P/043.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/043.ts
ja-M-P-044,ja,ブレイブバングル,,ブレイブバングル (English translation unavailable),untranslated,Trainer,,,,,044,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,I,normal,2025-07-28,data-asia/M/M-P/044.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/044.ts
ja-M-P-045,ja,リザード,Charmeleon,リザード (Charmeleon),verified_name_map,Pokemon,Fire,110,Stage1,ヒトカゲ,045,0,M-P,メガ プロモカード,,Promo,Teeziro,,I,normal,2025-07-28,data-asia/M/M-P/045.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/045.ts
ja-M-P-046,ja,ワルビアルex,Krookodile ex,ワルビアルex (Krookodile ex),verified_name_map_with_suffix,Pokemon,Darkness,320,Stage2,ワルビル,046,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,I,normal,2025-07-28,data-asia/M/M-P/046.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/046.ts
ja-M-P-047,ja,エレズン,Toxel,エレズン (Toxel),verified_name_map,Pokemon,Darkness,70,Basic,,047,0,M-P,メガ プロモカード,,Promo,Mina Nakai,,I,normal,2025-07-28,data-asia/M/M-P/047.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/047.ts
ja-M-P-048,ja,ノココッチ,Dudunsparce,ノココッチ (Dudunsparce),verified_name_map,Pokemon,Colorless,140,Stage1,ノコッチ,048,0,M-P,メガ プロモカード,,Promo,Teeziro,,H,normal,2025-07-28,data-asia/M/M-P/048.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/048.ts
ja-M-P-049,ja,逆境ほけん,,逆境ほけん (English translation unavailable),untranslated,Trainer,,,,,049,0,M-P,メガ プロモカード,,Promo,Ayaka Yoshida,,I,normal,2025-07-28,data-asia/M/M-P/049.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/049.ts
ja-M-P-050,ja,ふうせん,Air Balloon,ふうせん (Air Balloon),pokeapi_term_map,Trainer,,,,,050,0,M-P,メガ プロモカード,,Promo,Studio Bora Inc.,,I,normal,2025-07-28,data-asia/M/M-P/050.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/050.ts
ja-M-P-051,ja,トウコ,,トウコ (English translation unavailable),untranslated,Trainer,,,,,051,0,M-P,メガ プロモカード,,Promo,yuu,,I,normal,2025-07-28,data-asia/M/M-P/051.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/051.ts
ja-M-P-053,ja,ペパー,,ペパー (English translation unavailable),untranslated,Trainer,,,,,053,0,M-P,メガ プロモカード,,Promo,GIDORA,,G,normal,2025-07-28,data-asia/M/M-P/053.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/053.ts
ja-M-P-054,ja,デデンネGX,Dedenne GX,デデンネGX (Dedenne GX),verified_name_map_with_suffix,Pokemon,Lightning,160,Basic,,054,0,M-P,メガ プロモカード,,Promo,PLANETA Igarashi,,C,normal,2025-07-28,data-asia/M/M-P/054.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/054.ts
ja-M-P-055,ja,ミカルゲ,Spiritomb,ミカルゲ (Spiritomb),verified_name_map,Pokemon,Darkness,80,Basic,,055,0,M-P,メガ プロモカード,,Promo,Mitsuhiro Arita,,,normal,2025-07-28,data-asia/M/M-P/055.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/055.ts
ja-M-P-056,ja,ホルビー,Bunnelby,ホルビー (Bunnelby),verified_name_map,Pokemon,Colorless,60,Basic,,056,0,M-P,メガ プロモカード,,Promo,Hitoshi Ariga,,,normal,2025-07-28,data-asia/M/M-P/056.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/056.ts
ja-M-P-057,ja,スペシャルチャージ,,スペシャルチャージ (English translation unavailable),untranslated,Trainer,,,,,057,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,,normal,2025-07-28,data-asia/M/M-P/057.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/057.ts
ja-M-P-058,ja,トレーナーズポスト,,トレーナーズポスト (English translation unavailable),untranslated,Trainer,,,,,058,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,,normal,2025-07-28,data-asia/M/M-P/058.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/058.ts
ja-M-P-059,ja,バトルコンプレッサー,,バトルコンプレッサー (English translation unavailable),untranslated,Trainer,,,,,059,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,,normal,2025-07-28,data-asia/M/M-P/059.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/059.ts
ja-M-P-060,ja,バトルサーチャー,Vs. Seeker,バトルサーチャー (Vs. Seeker),pokeapi_term_map,Trainer,,,,,060,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,,normal,2025-07-28,data-asia/M/M-P/060.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/060.ts
ja-M-P-061,ja,フィールドブロアー,,フィールドブロアー (English translation unavailable),untranslated,Trainer,,,,,061,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,A,normal,2025-07-28,data-asia/M/M-P/061.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/061.ts
ja-M-P-062,ja,かるいし,Float Stone,かるいし (Float Stone),pokeapi_term_map,Trainer,,,,,062,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,,normal,2025-07-28,data-asia/M/M-P/062.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/062.ts
ja-M-P-063,ja,プルメリ,,プルメリ (English translation unavailable),untranslated,Trainer,,,,,063,0,M-P,メガ プロモカード,,Promo,Ken Sugimori,,A,normal,2025-07-28,data-asia/M/M-P/063.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/063.ts
ja-M-P-064,ja,パラレルシティ,,パラレルシティ (English translation unavailable),untranslated,Trainer,,,,,064,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,,normal,2025-07-28,data-asia/M/M-P/064.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/064.ts
ja-M-P-065,ja,ダブルドラゴンエネルギー,,ダブルドラゴンエネルギー (English translation unavailable),untranslated,Energy,,,,,065,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,,normal,2025-07-28,data-asia/M/M-P/065.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/065.ts
ja-M-P-066,ja,ラルトス,Ralts,ラルトス (Ralts),verified_name_map,Pokemon,Psychic,70,Basic,,066,0,M-P,メガ プロモカード,,Promo,Terada Tera,,I,normal,2025-07-28,data-asia/M/M-P/066.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/066.ts
ja-M-P-067,ja,キルリア,Kirlia,キルリア (Kirlia),verified_name_map,Pokemon,Psychic,100,Stage1,ラルトス,067,0,M-P,メガ プロモカード,,Promo,satoma,,I,normal,2025-07-28,data-asia/M/M-P/067.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/067.ts
ja-M-P-068,ja,メガエルレイドex,Gallade,メガエルレイドex (Gallade; species only),species_name_only,Pokemon,Fighting,350,Stage2,キルリア,068,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,J,normal,2025-07-28,data-asia/M/M-P/068.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/068.ts
ja-M-P-069,ja,パワープロテイン,,パワープロテイン (English translation unavailable),untranslated,Trainer,,,,,069,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,I,normal,2025-07-28,data-asia/M/M-P/069.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/069.ts
ja-M-P-070,ja,ヤドン,Slowpoke,ヤドン (Slowpoke),verified_name_map,Pokemon,Psychic,80,Basic,,070,0,M-P,メガ プロモカード,,Promo,miki kudo,,J,normal,2025-07-28,data-asia/M/M-P/070.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/070.ts
ja-M-P-071,ja,メガヤドランex,Slowbro,メガヤドランex (Slowbro; species only),species_name_only,Pokemon,Psychic,330,Stage1,ヤドン,071,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,J,normal,2025-07-28,data-asia/M/M-P/071.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/071.ts
ja-M-P-072,ja,ジーランス,Relicanth,ジーランス (Relicanth),verified_name_map,Pokemon,Fighting,100,Basic,,072,0,M-P,メガ プロモカード,,Promo,Mina Nakai,,H,normal,2025-07-28,data-asia/M/M-P/072.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/072.ts
ja-M-P-073,ja,カメテテ,Binacle,カメテテ (Binacle),verified_name_map,Pokemon,Fighting,80,Basic,,073,0,M-P,メガ プロモカード,,Promo,Shimaris Yukichi,,J,normal,2025-07-28,data-asia/M/M-P/073.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/073.ts
ja-M-P-074,ja,ブレイブバングル,,ブレイブバングル (English translation unavailable),untranslated,Trainer,,,,,074,0,M-P,メガ プロモカード,,Promo,Toyste Beach,,I,normal,2025-07-28,data-asia/M/M-P/074.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/074.ts
ja-M-P-075,ja,ジェット,,ジェット (English translation unavailable),untranslated,Trainer,,,,,075,0,M-P,メガ プロモカード,,Promo,GIDORA,,J,normal,2025-07-28,data-asia/M/M-P/075.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/075.ts
ja-M-P-076,ja,ミツルの思いやり,,ミツルの思いやり (English translation unavailable),untranslated,Trainer,,,,,076,0,M-P,メガ プロモカード,,Promo,Iori Suzuki,,I,normal,2025-07-28,data-asia/M/M-P/076.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/076.ts
ja-M-P-085,ja,ポケパッド,,ポケパッド (English translation unavailable),untranslated,Trainer,,,,,085,0,M-P,メガ プロモカード,,Promo,Studio Bora Inc.,,J,normal,2025-07-28,data-asia/M/M-P/085.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/085.ts
ja-M-P-086,ja,メガガルーラex,Kangaskhan,メガガルーラex (Kangaskhan; species only),species_name_only,Pokemon,Colorless,300,Basic,,086,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,I,normal,2025-07-28,data-asia/M/M-P/086.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/086.ts
ja-M-P-087,ja,基本草エネルギー,Basic Grass Energy,基本草エネルギー (Basic Grass Energy),pokeapi_term_map,Energy,,,,,087,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/087.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/087.ts
ja-M-P-088,ja,基本炎エネルギー,Basic Fire Energy,基本炎エネルギー (Basic Fire Energy),pokeapi_term_map,Energy,,,,,088,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/088.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/088.ts
ja-M-P-089,ja,基本水エネルギー,Basic Water Energy,基本水エネルギー (Basic Water Energy),pokeapi_term_map,Energy,,,,,089,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/089.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/089.ts
ja-M-P-090,ja,基本雷エネルギー,Basic Lightning Energy,基本雷エネルギー (Basic Lightning Energy),pokeapi_term_map,Energy,,,,,090,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/090.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/090.ts
ja-M-P-091,ja,基本超エネルギー,Basic Psychic Energy,基本超エネルギー (Basic Psychic Energy),pokeapi_term_map,Energy,,,,,091,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/091.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/091.ts
ja-M-P-092,ja,基本闘エネルギー,Basic Fighting Energy,基本闘エネルギー (Basic Fighting Energy),pokeapi_term_map,Energy,,,,,092,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/092.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/092.ts
ja-M-P-093,ja,基本悪エネルギー,Basic Darkness Energy,基本悪エネルギー (Basic Darkness Energy),pokeapi_term_map,Energy,,,,,093,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/093.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/093.ts
ja-M-P-094,ja,基本鋼エネルギー,Basic Metal Energy,基本鋼エネルギー (Basic Metal Energy),pokeapi_term_map,Energy,,,,,094,0,M-P,メガ プロモカード,,Promo,,,,,2025-07-28,data-asia/M/M-P/094.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/094.ts
ja-M-P-095,ja,シェイミ,Shaymin,シェイミ (Shaymin),verified_name_map,Pokemon,Grass,80,Basic,,095,0,M-P,メガ プロモカード,,Promo,tono,,I,normal,2025-07-28,data-asia/M/M-P/095.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/095.ts
ja-M-P-096,ja,メガマフォクシーex,Delphox,メガマフォクシーex (Delphox; species only),species_name_only,Pokemon,Fire,350,Stage2,テールナー,096,0,M-P,メガ プロモカード,,Promo,5ban Graphics,,J,normal,2025-07-28,data-asia/M/M-P/096.ts,https://github.com/tcgdex/cards-database/blob/master/data-asia/M/M-P/096.ts
