#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
25,en-B2a-024,B2a-024,Quaquaval,Paldean Wonders,024,93,Three Diamond,Quaquaval Paldean Wonders 024/93 pokemon card,,,
26,en-B2a-025,B2a-025,Wiglett,Paldean Wonders,025,93,One Diamond,Wiglett Paldean Wonders 025/93 pokemon card,,,
27,en-B2a-026,B2a-026,Wugtrio,Paldean Wonders,026,93,Two Diamond,Wugtrio Paldean Wonders 026/93 pokemon card,,,
28,en-B2a-027,B2a-027,Finizen,Paldean Wonders,027,93,One Diamond,Finizen Paldean Wonders 027/93 pokemon card,,,
29,en-B2a-028,B2a-028,Palafin,Paldean Wonders,028,93,Three Diamond,Palafin Paldean Wonders 028/93 pokemon card,,,
30,en-B2a-029,B2a-029,Cetoddle,Paldean Wonders,029,93,One Diamond,Cetoddle Paldean Wonders 029/93 pokemon card,,,
31,en-B2a-030,B2a-030,Cetitan,Paldean Wonders,030,93,Two Diamond,Cetitan Paldean Wonders 030/93 pokemon card,,,
32,en-B2a-031,B2a-031,Veluza,Paldean Wonders,031,93,One Diamond,Veluza Paldean Wonders 031/93 pokemon card,,,
33,en-B2a-032,B2a-032,Dondozo,Paldean Wonders,032,93,Two Diamond,Dondozo Paldean Wonders 032/93 pokemon card,,,
34,en-B2a-033,B2a-033,Tatsugiri,Paldean Wonders,033,93,Two Diamond,Tatsugiri Paldean Wonders 033/93 pokemon card,,,
35,en-B2a-034,B2a-034,Frigibax,Paldean Wonders,034,93,One Diamond,Frigibax Paldean Wonders 034/93 pokemon card,,,
36,en-B2a-035,B2a-035,Arctibax,Paldean Wonders,035,93,One Diamond,Arctibax Paldean Wonders 035/93 pokemon card,,,
37,en-B2a-036,B2a-036,Baxcalibur,Paldean Wonders,036,93,Three Diamond,Baxcalibur Paldean Wonders 036/93 pokemon card,,,
38,en-B2a-037,B2a-037,Chien-Pao,Paldean Wonders,037,93,Four Diamond,Chien-Pao Paldean Wonders 037/93 pokemon card,,,
39,en-B2a-038,B2a-038,Pawmi,Paldean Wonders,038,93,One Diamond,Pawmi Paldean Wonders 038/93 pokemon card,,,
40,en-B2a-039,B2a-039,Pawmo,Paldean Wonders,039,93,One Diamond,Pawmo Paldean Wonders 039/93 pokemon card,,,
41,en-B2a-040,B2a-040,Pawmot,Paldean Wonders,040,93,Two Diamond,Pawmot Paldean Wonders 040/93 pokemon card,,,
42,en-B2a-041,B2a-041,Tadbulb,Paldean Wonders,041,93,One Diamond,Tadbulb Paldean Wonders 041/93 pokemon card,,,
43,en-B2a-042,B2a-042,Bellibolt,Paldean Wonders,042,93,Four Diamond,Bellibolt Paldean Wonders 042/93 pokemon card,,,
44,en-B2a-043,B2a-043,Wattrel,Paldean Wonders,043,93,One Diamond,Wattrel Paldean Wonders 043/93 pokemon card,,,
45,en-B2a-044,B2a-044,Kilowattrel,Paldean Wonders,044,93,Two Diamond,Kilowattrel Paldean Wonders 044/93 pokemon card,,,
46,en-B2a-045,B2a-045,Miraidon,Paldean Wonders,045,93,Three Diamond,Miraidon Paldean Wonders 045/93 pokemon card,,,
47,en-B2a-046,B2a-046,Fidough,Paldean Wonders,046,93,One Diamond,Fidough Paldean Wonders 046/93 pokemon card,,,
48,en-B2a-047,B2a-047,Dachsbun,Paldean Wonders,047,93,Two Diamond,Dachsbun Paldean Wonders 047/93 pokemon card,,,
49,en-B2a-048,B2a-048,Ceruledge,Paldean Wonders,048,93,Three Diamond,Ceruledge Paldean Wonders 048/93 pokemon card,,,
50,en-B2a-049,B2a-049,Rabsca,Paldean Wonders,049,93,Two Diamond,Rabsca Paldean Wonders 049/93 pokemon card,,,
51,en-B2a-050,B2a-050,Flittle,Paldean Wonders,050,93,One Diamond,Flittle Paldean Wonders 050/93 pokemon card,,,
52,en-B2a-051,B2a-051,Espathra,Paldean Wonders,051,93,Two Diamond,Espathra Paldean Wonders 051/93 pokemon card,,,
53,en-B2a-052,B2a-052,Greavard,Paldean Wonders,052,93,One Diamond,Greavard Paldean Wonders 052/93 pokemon card,,,
54,en-B2a-053,B2a-053,Houndstone,Paldean Wonders,053,93,Two Diamond,Houndstone Paldean Wonders 053/93 pokemon card,,,
55,en-B2a-054,B2a-054,Gimmighoul,Paldean Wonders,054,93,One Diamond,Gimmighoul Paldean Wonders 054/93 pokemon card,,,
56,en-B2a-055,B2a-055,Mankey,Paldean Wonders,055,93,One Diamond,Mankey Paldean Wonders 055/93 pokemon card,,,
57,en-B2a-056,B2a-056,Primeape,Paldean Wonders,056,93,One Diamond,Primeape Paldean Wonders 056/93 pokemon card,,,
58,en-B2a-057,B2a-057,Annihilape,Paldean Wonders,057,93,Two Diamond,Annihilape Paldean Wonders 057/93 pokemon card,,,
59,en-B2a-058,B2a-058,Paldean Tauros,Paldean Wonders,058,93,Two Diamond,Paldean Tauros Paldean Wonders 058/93 pokemon card,,,
60,en-B2a-059,B2a-059,Toedscool,Paldean Wonders,059,93,One Diamond,Toedscool Paldean Wonders 059/93 pokemon card,,,
61,en-B2a-060,B2a-060,Toedscruel,Paldean Wonders,060,93,Two Diamond,Toedscruel Paldean Wonders 060/93 pokemon card,,,
62,en-B2a-061,B2a-061,Klawf,Paldean Wonders,061,93,One Diamond,Klawf Paldean Wonders 061/93 pokemon card,,,
63,en-B2a-062,B2a-062,Ting-Lu,Paldean Wonders,062,93,Three Diamond,Ting-Lu Paldean Wonders 062/93 pokemon card,,,
64,en-B2a-063,B2a-063,Koraidon,Paldean Wonders,063,93,Three Diamond,Koraidon Paldean Wonders 063/93 pokemon card,,,
65,en-B2a-064,B2a-064,Paldean Wooper,Paldean Wonders,064,93,One Diamond,Paldean Wooper Paldean Wonders 064/93 pokemon card,,,
66,en-B2a-065,B2a-065,Paldean Clodsire,Paldean Wonders,065,93,Two Diamond,Paldean Clodsire Paldean Wonders 065/93 pokemon card,,,
67,en-B2a-066,B2a-066,Lokix,Paldean Wonders,066,93,Two Diamond,Lokix Paldean Wonders 066/93 pokemon card,,,
68,en-B2a-067,B2a-067,Maschiff,Paldean Wonders,067,93,One Diamond,Maschiff Paldean Wonders 067/93 pokemon card,,,
69,en-B2a-068,B2a-068,Mabosstiff,Paldean Wonders,068,93,Two Diamond,Mabosstiff Paldean Wonders 068/93 pokemon card,,,
70,en-B2a-069,B2a-069,Shroodle,Paldean Wonders,069,93,One Diamond,Shroodle Paldean Wonders 069/93 pokemon card,,,
71,en-B2a-070,B2a-070,Grafaiai,Paldean Wonders,070,93,Two Diamond,Grafaiai Paldean Wonders 070/93 pokemon card,,,
72,en-B2a-071,B2a-071,Bombirdier,Paldean Wonders,071,93,Three Diamond,Bombirdier Paldean Wonders 071/93 pokemon card,,,
73,en-B2a-072,B2a-072,Tinkatink,Paldean Wonders,072,93,One Diamond,Tinkatink Paldean Wonders 072/93 pokemon card,,,
74,en-B2a-073,B2a-073,Tinkatuff,Paldean Wonders,073,93,One Diamond,Tinkatuff Paldean Wonders 073/93 pokemon card,,,
75,en-B2a-074,B2a-074,Tinkaton,Paldean Wonders,074,93,Three Diamond,Tinkaton Paldean Wonders 074/93 pokemon card,,,
76,en-B2a-075,B2a-075,Varoom,Paldean Wonders,075,93,One Diamond,Varoom Paldean Wonders 075/93 pokemon card,,,
77,en-B2a-076,B2a-076,Revavroom,Paldean Wonders,076,93,Two Diamond,Revavroom Paldean Wonders 076/93 pokemon card,,,
78,en-B2a-077,B2a-077,Orthworm,Paldean Wonders,077,93,Two Diamond,Orthworm Paldean Wonders 077/93 pokemon card,,,
79,en-B2a-078,B2a-078,Gholdengo,Paldean Wonders,078,93,Four Diamond,Gholdengo Paldean Wonders 078/93 pokemon card,,,
80,en-B2a-079,B2a-079,Lechonk,Paldean Wonders,079,93,One Diamond,Lechonk Paldean Wonders 079/93 pokemon card,,,
81,en-B2a-080,B2a-080,Oinkologne,Paldean Wonders,080,93,One Diamond,Oinkologne Paldean Wonders 080/93 pokemon card,,,
82,en-B2a-081,B2a-081,Tandemaus,Paldean Wonders,081,93,One Diamond,Tandemaus Paldean Wonders 081/93 pokemon card,,,
83,en-B2a-082,B2a-082,Maushold,Paldean Wonders,082,93,Two Diamond,Maushold Paldean Wonders 082/93 pokemon card,,,
84,en-B2a-083,B2a-083,Squawkabilly,Paldean Wonders,083,93,One Diamond,Squawkabilly Paldean Wonders 083/93 pokemon card,,,
85,en-B2a-084,B2a-084,Cyclizar,Paldean Wonders,084,93,Two Diamond,Cyclizar Paldean Wonders 084/93 pokemon card,,,
86,en-B2a-085,B2a-085,Flamigo,Paldean Wonders,085,93,One Diamond,Flamigo Paldean Wonders 085/93 pokemon card,,,
87,en-B2a-086,B2a-086,Electric Generator,Paldean Wonders,086,93,Two Diamond,Electric Generator Paldean Wonders 086/93 pokemon card,,,
88,en-B2a-087,B2a-087,Big Air Balloon,Paldean Wonders,087,93,Two Diamond,Big Air Balloon Paldean Wonders 087/93 pokemon card,,,
89,en-B2a-088,B2a-088,Team Star Grunt,Paldean Wonders,088,93,Two Diamond,Team Star Grunt Paldean Wonders 088/93 pokemon card,,,
90,en-B2a-089,B2a-089,Iono,Paldean Wonders,089,93,Two Diamond,Iono Paldean Wonders 089/93 pokemon card,,,
91,en-B2a-090,B2a-090,Nemona,Paldean Wonders,090,93,Two Diamond,Nemona Paldean Wonders 090/93 pokemon card,,,
92,en-B2a-091,B2a-091,Arven,Paldean Wonders,091,93,Two Diamond,Arven Paldean Wonders 091/93 pokemon card,,,
93,en-B2a-092,B2a-092,Penny,Paldean Wonders,092,93,Two Diamond,Penny Paldean Wonders 092/93 pokemon card,,,
94,en-B2a-093,B2a-093,Mesagoza,Paldean Wonders,093,93,Two Diamond,Mesagoza Paldean Wonders 093/93 pokemon card,,,
95,en-B2a-094,B2a-094,Fuecoco,Paldean Wonders,094,93,One Star,Fuecoco Paldean Wonders 094/93 pokemon card,,,
96,en-B2a-095,B2a-095,Greavard,Paldean Wonders,095,93,One Star,Greavard Paldean Wonders 095/93 pokemon card,,,
97,en-B2a-096,B2a-096,Gimmighoul,Paldean Wonders,096,93,One Star,Gimmighoul Paldean Wonders 096/93 pokemon card,,,
98,en-B2a-097,B2a-097,Paldean Wooper,Paldean Wonders,097,93,One Star,Paldean Wooper Paldean Wonders 097/93 pokemon card,,,
99,en-B2a-098,B2a-098,Orthworm,Paldean Wonders,098,93,One Star,Orthworm Paldean Wonders 098/93 pokemon card,,,
100,en-B2a-099,B2a-099,Maushold,Paldean Wonders,099,93,One Star,Maushold Paldean Wonders 099/93 pokemon card,,,
101,en-B2a-100,B2a-100,Meowscarada,Paldean Wonders,100,93,Two Star,Meowscarada Paldean Wonders 100/93 pokemon card,,,
102,en-B2a-101,B2a-101,Armarouge,Paldean Wonders,101,93,Two Star,Armarouge Paldean Wonders 101/93 pokemon card,,,
103,en-B2a-102,B2a-102,Chien-Pao,Paldean Wonders,102,93,Two Star,Chien-Pao Paldean Wonders 102/93 pokemon card,,,
104,en-B2a-103,B2a-103,Bellibolt,Paldean Wonders,103,93,Two Star,Bellibolt Paldean Wonders 103/93 pokemon card,,,
105,en-B2a-104,B2a-104,Gholdengo,Paldean Wonders,104,93,Two Star,Gholdengo Paldean Wonders 104/93 pokemon card,,,
106,en-B2a-105,B2a-105,Team Star Grunt,Paldean Wonders,105,93,Two Star,Team Star Grunt Paldean Wonders 105/93 pokemon card,,,
107,en-B2a-106,B2a-106,Iono,Paldean Wonders,106,93,Two Star,Iono Paldean Wonders 106/93 pokemon card,,,
108,en-B2a-107,B2a-107,Nemona,Paldean Wonders,107,93,Two Star,Nemona Paldean Wonders 107/93 pokemon card,,,
109,en-B2a-108,B2a-108,Arven,Paldean Wonders,108,93,Two Star,Arven Paldean Wonders 108/93 pokemon card,,,
110,en-B2a-109,B2a-109,Penny,Paldean Wonders,109,93,Two Star,Penny Paldean Wonders 109/93 pokemon card,,,
111,en-B2a-110,B2a-110,Meowscarada,Paldean Wonders,110,93,Two Star,Meowscarada Paldean Wonders 110/93 pokemon card,,,
112,en-B2a-111,B2a-111,Armarouge,Paldean Wonders,111,93,Two Star,Armarouge Paldean Wonders 111/93 pokemon card,,,
113,en-B2a-112,B2a-112,Chien-Pao,Paldean Wonders,112,93,Two Star,Chien-Pao Paldean Wonders 112/93 pokemon card,,,
114,en-B2a-113,B2a-113,Bellibolt,Paldean Wonders,113,93,Two Star,Bellibolt Paldean Wonders 113/93 pokemon card,,,
115,en-B2a-114,B2a-114,Gholdengo,Paldean Wonders,114,93,Two Star,Gholdengo Paldean Wonders 114/93 pokemon card,,,
116,en-B2a-115,B2a-115,Arven,Paldean Wonders,115,93,Three Star,Arven Paldean Wonders 115/93 pokemon card,,,
117,en-B2a-116,B2a-116,Sprigatito,Paldean Wonders,116,93,One Shiny,Sprigatito Paldean Wonders 116/93 pokemon card,,,
118,en-B2a-117,B2a-117,Floragato,Paldean Wonders,117,93,One Shiny,Floragato Paldean Wonders 117/93 pokemon card,,,
119,en-B2a-118,B2a-118,Meowscarada,Paldean Wonders,118,93,One Shiny,Meowscarada Paldean Wonders 118/93 pokemon card,,,
120,en-B2a-119,B2a-119,Pawmi,Paldean Wonders,119,93,One Shiny,Pawmi Paldean Wonders 119/93 pokemon card,,,
121,en-B2a-120,B2a-120,Pawmo,Paldean Wonders,120,93,One Shiny,Pawmo Paldean Wonders 120/93 pokemon card,,,
122,en-B2a-121,B2a-121,Pawmot,Paldean Wonders,121,93,One Shiny,Pawmot Paldean Wonders 121/93 pokemon card,,,
123,en-B2a-122,B2a-122,Gimmighoul,Paldean Wonders,122,93,One Shiny,Gimmighoul Paldean Wonders 122/93 pokemon card,,,
124,en-B2a-123,B2a-123,Tinkatink,Paldean Wonders,123,93,One Shiny,Tinkatink Paldean Wonders 123/93 pokemon card,,,
125,en-B2a-124,B2a-124,Tinkatuff,Paldean Wonders,124,93,One Shiny,Tinkatuff Paldean Wonders 124/93 pokemon card,,,
126,en-B2a-125,B2a-125,Gholdengo,Paldean Wonders,125,93,One Shiny,Gholdengo Paldean Wonders 125/93 pokemon card,,,
127,en-B2a-126,B2a-126,Entei,Paldean Wonders,126,93,Two Shiny,Entei Paldean Wonders 126/93 pokemon card,,,
128,en-B2a-127,B2a-127,Suicune,Paldean Wonders,127,93,Two Shiny,Suicune Paldean Wonders 127/93 pokemon card,,,
129,en-B2a-128,B2a-128,Raikou,Paldean Wonders,128,93,Two Shiny,Raikou Paldean Wonders 128/93 pokemon card,,,
130,en-B2a-129,B2a-129,Tinkaton,Paldean Wonders,129,93,Two Shiny,Tinkaton Paldean Wonders 129/93 pokemon card,,,
131,en-B2a-130,B2a-130,Baxcalibur,Paldean Wonders,130,93,Crown,Baxcalibur Paldean Wonders 130/93 pokemon card,,,
132,en-B2a-131,B2a-131,Electric Generator,Paldean Wonders,131,93,Crown,Electric Generator Paldean Wonders 131/93 pokemon card,,,
133,en-P-A-074,P-A-074,Zeraora,Promos-A,074,0,One Star,Zeraora Promos-A 074/0 pokemon card,,,
134,en-P-A-075,P-A-075,Kartana,Promos-A,075,0,One Diamond,Kartana Promos-A 075/0 pokemon card,,,
135,en-P-A-076,P-A-076,Blacephalon,Promos-A,076,0,None,Blacephalon Promos-A 076/0 pokemon card,,,
136,en-P-A-077,P-A-077,Xurkitree,Promos-A,077,0,One Diamond,Xurkitree Promos-A 077/0 pokemon card,,,
137,en-P-A-078,P-A-078,Dawn Wings Necrozma,Promos-A,078,0,Three Diamond,Dawn Wings Necrozma Promos-A 078/0 pokemon card,,,
138,en-P-A-079,P-A-079,Dusk Mane Necrozma,Promos-A,079,0,Three Diamond,Dusk Mane Necrozma Promos-A 079/0 pokemon card,,,
139,en-P-A-080,P-A-080,Stakataka,Promos-A,080,0,One Diamond,Stakataka Promos-A 080/0 pokemon card,,,
140,en-P-A-081,P-A-081,Ultra Necrozma ex,Promos-A,081,0,Four Diamond,Ultra Necrozma ex Promos-A 081/0 pokemon card,,,
141,en-P-A-082,P-A-082,Poipole,Promos-A,082,0,Three Diamond,Poipole Promos-A 082/0 pokemon card,,,
142,en-P-A-083,P-A-083,Stufful,Promos-A,083,0,Three Diamond,Stufful Promos-A 083/0 pokemon card,,,
143,en-P-A-084,P-A-084,Tapu Koko ex,Promos-A,084,0,Four Diamond,Tapu Koko ex Promos-A 084/0 pokemon card,,,
144,en-P-A-085,P-A-085,Vanillite,Promos-A,085,0,One Diamond,Vanillite Promos-A 085/0 pokemon card,,,
145,en-P-A-086,P-A-086,Jolteon,Promos-A,086,0,Three Diamond,Jolteon Promos-A 086/0 pokemon card,,,
146,en-P-A-087,P-A-087,Alcremie,Promos-A,087,0,One Star,Alcremie Promos-A 087/0 pokemon card,,,
147,en-P-A-088,P-A-088,Dragonair,Promos-A,088,0,One Diamond,Dragonair Promos-A 088/0 pokemon card,,,
148,en-P-A-089,P-A-089,Audino,Promos-A,089,0,One Diamond,Audino Promos-A 089/0 pokemon card,,,
149,en-P-A-090,P-A-090,Togedemaru,Promos-A,090,0,Three Diamond,Togedemaru Promos-A 090/0 pokemon card,,,
150,en-P-A-091,P-A-091,Greedent,Promos-A,091,0,Three Diamond,Greedent Promos-A 091/0 pokemon card,,,
151,en-P-A-092,P-A-092,Eevee,Promos-A,092,0,Three Diamond,Eevee Promos-A 092/0 pokemon card,,,
152,en-P-A-093,P-A-093,Cleffa,Promos-A,093,0,One Star,Cleffa Promos-A 093/0 pokemon card,,,
153,en-P-A-094,P-A-094,Horsea,Promos-A,094,0,One Diamond,Horsea Promos-A 094/0 pokemon card,,,
154,en-P-A-095,P-A-095,Chinchou,Promos-A,095,0,One Diamond,Chinchou Promos-A 095/0 pokemon card,,,
155,en-P-A-096,P-A-096,Houndoom,Promos-A,096,0,One Diamond,Houndoom Promos-A 096/0 pokemon card,,,
156,en-P-A-097,P-A-097,Kangaskhan,Promos-A,097,0,Three Diamond,Kangaskhan Promos-A 097/0 pokemon card,,,
157,en-P-A-098,P-A-098,Blissey ex,Promos-A,098,0,Four Diamond,Blissey ex Promos-A 098/0 pokemon card,,,
158,en-P-A-099,P-A-099,Marill,Promos-A,099,0,Three Diamond,Marill Promos-A 099/0 pokemon card,,,
159,en-P-A-100,P-A-100,Weavile,Promos-A,100,0,Three Diamond,Weavile Promos-A 100/0 pokemon card,,,
