#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes
1251,en-swsh12tg-TG30,swsh12tg-TG30,Duraludon VMAX,Silver Tempest Trainer Gallery,TG30,30,Secret Rare,Duraludon VMAX Silver Tempest Trainer Gallery TG30/30 pokemon card,,,
1270,en-ecard3-H19,ecard3-H19,Magneton,Skyridge,H19,144,Holo Rare,Magneton Skyridge H19/144 pokemon card,,,
1271,en-ecard3-H20,ecard3-H20,Moltres,Skyridge,H20,144,Holo Rare,Moltres Skyridge H20/144 pokemon card,,,
1272,en-ecard3-H21,ecard3-H21,Nidoqueen,Skyridge,H21,144,Holo Rare,Nidoqueen Skyridge H21/144 pokemon card,,,
1273,en-ecard3-H22,ecard3-H22,Piloswine,Skyridge,H22,144,Holo Rare,Piloswine Skyridge H22/144 pokemon card,,,
1274,en-ecard3-H23,ecard3-H23,Politoed,Skyridge,H23,144,Holo Rare,Politoed Skyridge H23/144 pokemon card,,,
1275,en-ecard3-H24,ecard3-H24,Poliwrath,Skyridge,H24,144,Holo Rare,Poliwrath Skyridge H24/144 pokemon card,,,
1276,en-ecard3-H25,ecard3-H25,Raichu,Skyridge,H25,144,Holo Rare,Raichu Skyridge H25/144 pokemon card,,,
1277,en-ecard3-H26,ecard3-H26,Raikou,Skyridge,H26,144,Holo Rare,Raikou Skyridge H26/144 pokemon card,,,
1278,en-ecard3-H27,ecard3-H27,Rhydon,Skyridge,H27,144,Holo Rare,Rhydon Skyridge H27/144 pokemon card,,,
1279,en-ecard3-H28,ecard3-H28,Starmie,Skyridge,H28,144,Holo Rare,Starmie Skyridge H28/144 pokemon card,,,
1280,en-ecard3-H29,ecard3-H29,Steelix,Skyridge,H29,144,Holo Rare,Steelix Skyridge H29/144 pokemon card,,,
1281,en-ecard3-H30,ecard3-H30,Umbreon,Skyridge,H30,144,Holo Rare,Umbreon Skyridge H30/144 pokemon card,,,
1282,en-ecard3-H31,ecard3-H31,Vaporeon,Skyridge,H31,144,Holo Rare,Vaporeon Skyridge H31/144 pokemon card,,,
1283,en-ecard3-H32,ecard3-H32,Xatu,Skyridge,H32,144,Holo Rare,Xatu Skyridge H32/144 pokemon card,,,
1284,en-exu-!,exu-!,Unown,Unseen Forces Unown Collection,!,28,Rare,Unown Unseen Forces Unown Collection !/28 pokemon card,,,
1285,en-exu-%3F,exu-%3F,Unown,Unseen Forces Unown Collection,%3F,28,Rare,Unown Unseen Forces Unown Collection %3F/28 pokemon card,,,
1286,en-exu-A,exu-A,Unown,Unseen Forces Unown Collection,A,28,Rare,Unown Unseen Forces Unown Collection A/28 pokemon card,,,
1287,en-exu-B,exu-B,Unown,Unseen Forces Unown Collection,B,28,Rare,Unown Unseen Forces Unown Collection B/28 pokemon card,,,
1288,en-exu-C,exu-C,Unown,Unseen Forces Unown Collection,C,28,Rare,Unown Unseen Forces Unown Collection C/28 pokemon card,,,
1289,en-exu-D,exu-D,Unown,Unseen Forces Unown Collection,D,28,Rare,Unown Unseen Forces Unown Collection D/28 pokemon card,,,
1290,en-exu-E,exu-E,Unown,Unseen Forces Unown Collection,E,28,Rare,Unown Unseen Forces Unown Collection E/28 pokemon card,,,
1291,en-exu-F,exu-F,Unown,Unseen Forces Unown Collection,F,28,Rare,Unown Unseen Forces Unown Collection F/28 pokemon card,,,
1292,en-exu-G,exu-G,Unown,Unseen Forces Unown Collection,G,28,Rare,Unown Unseen Forces Unown Collection G/28 pokemon card,,,
1293,en-exu-H,exu-H,Unown,Unseen Forces Unown Collection,H,28,Rare,Unown Unseen Forces Unown Collection H/28 pokemon card,,,
1294,en-exu-I,exu-I,Unown,Unseen Forces Unown Collection,I,28,Rare,Unown Unseen Forces Unown Collection I/28 pokemon card,,,
1295,en-exu-J,exu-J,Unown,Unseen Forces Unown Collection,J,28,Rare,Unown Unseen Forces Unown Collection J/28 pokemon card,,,
1296,en-exu-K,exu-K,Unown,Unseen Forces Unown Collection,K,28,Rare,Unown Unseen Forces Unown Collection K/28 pokemon card,,,
1297,en-exu-L,exu-L,Unown,Unseen Forces Unown Collection,L,28,Rare,Unown Unseen Forces Unown Collection L/28 pokemon card,,,
1298,en-exu-M,exu-M,Unown,Unseen Forces Unown Collection,M,28,Rare,Unown Unseen Forces Unown Collection M/28 pokemon card,,,
1299,en-exu-N,exu-N,Unown,Unseen Forces Unown Collection,N,28,Rare,Unown Unseen Forces Unown Collection N/28 pokemon card,,,
1300,en-exu-O,exu-O,Unown,Unseen Forces Unown Collection,O,28,Rare,Unown Unseen Forces Unown Collection O/28 pokemon card,,,
1301,en-exu-P,exu-P,Unown,Unseen Forces Unown Collection,P,28,Rare,Unown Unseen Forces Unown Collection P/28 pokemon card,,,
1302,en-exu-Q,exu-Q,Unown,Unseen Forces Unown Collection,Q,28,Rare,Unown Unseen Forces Unown Collection Q/28 pokemon card,,,
1303,en-exu-R,exu-R,Unown,Unseen Forces Unown Collection,R,28,Rare,Unown Unseen Forces Unown Collection R/28 pokemon card,,,
1304,en-exu-S,exu-S,Unown,Unseen Forces Unown Collection,S,28,Rare,Unown Unseen Forces Unown Collection S/28 pokemon card,,,
1305,en-exu-T,exu-T,Unown,Unseen Forces Unown Collection,T,28,Rare,Unown Unseen Forces Unown Collection T/28 pokemon card,,,
1306,en-exu-U,exu-U,Unown,Unseen Forces Unown Collection,U,28,Rare,Unown Unseen Forces Unown Collection U/28 pokemon card,,,
1307,en-exu-V,exu-V,Unown,Unseen Forces Unown Collection,V,28,Rare,Unown Unseen Forces Unown Collection V/28 pokemon card,,,
1308,en-exu-W,exu-W,Unown,Unseen Forces Unown Collection,W,28,Rare,Unown Unseen Forces Unown Collection W/28 pokemon card,,,
1309,en-exu-X,exu-X,Unown,Unseen Forces Unown Collection,X,28,Rare,Unown Unseen Forces Unown Collection X/28 pokemon card,,,
1310,en-exu-Y,exu-Y,Unown,Unseen Forces Unown Collection,Y,28,Rare,Unown Unseen Forces Unown Collection Y/28 pokemon card,,,
1311,en-exu-Z,exu-Z,Unown,Unseen Forces Unown Collection,Z,28,Rare,Unown Unseen Forces Unown Collection Z/28 pokemon card,,,
1312,en-xyp-XY39,xyp-XY39,Kingdra,XY Black Star Promos,XY39,211,Promo,Kingdra XY Black Star Promos XY39/211 pokemon card,,,
1313,en-xyp-XY46,xyp-XY46,Altaria,XY Black Star Promos,XY46,211,Promo,Altaria XY Black Star Promos XY46/211 pokemon card,,,
1314,en-xyp-XY68,xyp-XY68,Chesnaught,XY Black Star Promos,XY68,211,Promo,Chesnaught XY Black Star Promos XY68/211 pokemon card,,,
1315,en-tk-xy-b-1,tk-xy-b-1,Fletchling,XY trainer Kit (Bisharp),1,30,Common,Fletchling XY trainer Kit (Bisharp) 1/30 pokemon card,,,
1316,en-tk-xy-b-10,tk-xy-b-10,Metal Energy,XY trainer Kit (Bisharp),10,30,Common,Metal Energy XY trainer Kit (Bisharp) 10/30 pokemon card,,,
1317,en-tk-xy-b-11,tk-xy-b-11,Honedge,XY trainer Kit (Bisharp),11,30,Common,Honedge XY trainer Kit (Bisharp) 11/30 pokemon card,,,
1318,en-tk-xy-b-12,tk-xy-b-12,Bidoof,XY trainer Kit (Bisharp),12,30,Common,Bidoof XY trainer Kit (Bisharp) 12/30 pokemon card,,,
1319,en-tk-xy-b-13,tk-xy-b-13,Pawniard,XY trainer Kit (Bisharp),13,30,Common,Pawniard XY trainer Kit (Bisharp) 13/30 pokemon card,,,
1320,en-tk-xy-b-14,tk-xy-b-14,Doublade,XY trainer Kit (Bisharp),14,30,Uncommon,Doublade XY trainer Kit (Bisharp) 14/30 pokemon card,,,
1321,en-tk-xy-b-15,tk-xy-b-15,Slakoth,XY trainer Kit (Bisharp),15,30,Common,Slakoth XY trainer Kit (Bisharp) 15/30 pokemon card,,,
1322,en-tk-xy-b-16,tk-xy-b-16,Bisharp,XY trainer Kit (Bisharp),16,30,Rare,Bisharp XY trainer Kit (Bisharp) 16/30 pokemon card,,,
1323,en-tk-xy-b-17,tk-xy-b-17,Patrat,XY trainer Kit (Bisharp),17,30,Common,Patrat XY trainer Kit (Bisharp) 17/30 pokemon card,,,
1324,en-tk-xy-b-18,tk-xy-b-18,Metal Energy,XY trainer Kit (Bisharp),18,30,Common,Metal Energy XY trainer Kit (Bisharp) 18/30 pokemon card,,,
1325,en-tk-xy-b-19,tk-xy-b-19,Tierno,XY trainer Kit (Bisharp),19,30,Uncommon,Tierno XY trainer Kit (Bisharp) 19/30 pokemon card,,,
1326,en-tk-xy-b-2,tk-xy-b-2,Metal Energy,XY trainer Kit (Bisharp),2,30,Common,Metal Energy XY trainer Kit (Bisharp) 2/30 pokemon card,,,
1327,en-tk-xy-b-20,tk-xy-b-20,Trevor,XY trainer Kit (Bisharp),20,30,Uncommon,Trevor XY trainer Kit (Bisharp) 20/30 pokemon card,,,
1328,en-tk-xy-b-21,tk-xy-b-21,Pawniard,XY trainer Kit (Bisharp),21,30,Common,Pawniard XY trainer Kit (Bisharp) 21/30 pokemon card,,,
1329,en-tk-xy-b-22,tk-xy-b-22,Metal Energy,XY trainer Kit (Bisharp),22,30,Common,Metal Energy XY trainer Kit (Bisharp) 22/30 pokemon card,,,
1330,en-tk-xy-b-23,tk-xy-b-23,Doublade,XY trainer Kit (Bisharp),23,30,Uncommon,Doublade XY trainer Kit (Bisharp) 23/30 pokemon card,,,
1331,en-tk-xy-b-24,tk-xy-b-24,Metal Energy,XY trainer Kit (Bisharp),24,30,Common,Metal Energy XY trainer Kit (Bisharp) 24/30 pokemon card,,,
1332,en-tk-xy-b-25,tk-xy-b-25,Potion,XY trainer Kit (Bisharp),25,30,Common,Potion XY trainer Kit (Bisharp) 25/30 pokemon card,,,
1333,en-tk-xy-b-26,tk-xy-b-26,Slakoth,XY trainer Kit (Bisharp),26,30,Common,Slakoth XY trainer Kit (Bisharp) 26/30 pokemon card,,,
1334,en-tk-xy-b-27,tk-xy-b-27,Honedge,XY trainer Kit (Bisharp),27,30,Common,Honedge XY trainer Kit (Bisharp) 27/30 pokemon card,,,
1335,en-tk-xy-b-28,tk-xy-b-28,Vigoroth,XY trainer Kit (Bisharp),28,30,Uncommon,Vigoroth XY trainer Kit (Bisharp) 28/30 pokemon card,,,
1336,en-tk-xy-b-29,tk-xy-b-29,Potion,XY trainer Kit (Bisharp),29,30,Common,Potion XY trainer Kit (Bisharp) 29/30 pokemon card,,,
1337,en-tk-xy-b-3,tk-xy-b-3,Metal Energy,XY trainer Kit (Bisharp),3,30,Common,Metal Energy XY trainer Kit (Bisharp) 3/30 pokemon card,,,
1338,en-tk-xy-b-30,tk-xy-b-30,Bisharp,XY trainer Kit (Bisharp),30,30,Rare,Bisharp XY trainer Kit (Bisharp) 30/30 pokemon card,,,
1339,en-tk-xy-b-4,tk-xy-b-4,Vigoroth,XY trainer Kit (Bisharp),4,30,Uncommon,Vigoroth XY trainer Kit (Bisharp) 4/30 pokemon card,,,
1340,en-tk-xy-b-5,tk-xy-b-5,Metal Energy,XY trainer Kit (Bisharp),5,30,Common,Metal Energy XY trainer Kit (Bisharp) 5/30 pokemon card,,,
1341,en-tk-xy-b-6,tk-xy-b-6,Metal Energy,XY trainer Kit (Bisharp),6,30,Common,Metal Energy XY trainer Kit (Bisharp) 6/30 pokemon card,,,
1342,en-tk-xy-b-7,tk-xy-b-7,Metal Energy,XY trainer Kit (Bisharp),7,30,Common,Metal Energy XY trainer Kit (Bisharp) 7/30 pokemon card,,,
1343,en-tk-xy-b-8,tk-xy-b-8,Metal Energy,XY trainer Kit (Bisharp),8,30,Common,Metal Energy XY trainer Kit (Bisharp) 8/30 pokemon card,,,
1344,en-tk-xy-b-9,tk-xy-b-9,Metal Energy,XY trainer Kit (Bisharp),9,30,Common,Metal Energy XY trainer Kit (Bisharp) 9/30 pokemon card,,,
1345,en-tk-xy-latia-1,tk-xy-latia-1,Grass Energy,XY trainer Kit (Latias),1,30,Common,Grass Energy XY trainer Kit (Latias) 1/30 pokemon card,,,
1346,en-tk-xy-latia-10,tk-xy-latia-10,Psychic Energy,XY trainer Kit (Latias),10,30,Common,Psychic Energy XY trainer Kit (Latias) 10/30 pokemon card,,,
1347,en-tk-xy-latia-11,tk-xy-latia-11,Lotad,XY trainer Kit (Latias),11,30,Common,Lotad XY trainer Kit (Latias) 11/30 pokemon card,,,
1348,en-tk-xy-latia-12,tk-xy-latia-12,Tangrowth,XY trainer Kit (Latias),12,30,Rare,Tangrowth XY trainer Kit (Latias) 12/30 pokemon card,,,
1349,en-tk-xy-latia-13,tk-xy-latia-13,Tangela,XY trainer Kit (Latias),13,30,Common,Tangela XY trainer Kit (Latias) 13/30 pokemon card,,,
1350,en-tk-xy-latia-14,tk-xy-latia-14,Latias,XY trainer Kit (Latias),14,30,None,Latias XY trainer Kit (Latias) 14/30 pokemon card,,,
1351,en-tk-xy-latia-15,tk-xy-latia-15,Potion,XY trainer Kit (Latias),15,30,Common,Potion XY trainer Kit (Latias) 15/30 pokemon card,,,
1352,en-tk-xy-latia-16,tk-xy-latia-16,Surskit,XY trainer Kit (Latias),16,30,Common,Surskit XY trainer Kit (Latias) 16/30 pokemon card,,,
1353,en-tk-xy-latia-17,tk-xy-latia-17,Psychic Energy,XY trainer Kit (Latias),17,30,Common,Psychic Energy XY trainer Kit (Latias) 17/30 pokemon card,,,
1354,en-tk-xy-latia-18,tk-xy-latia-18,Grovyle,XY trainer Kit (Latias),18,30,Uncommon,Grovyle XY trainer Kit (Latias) 18/30 pokemon card,,,
1355,en-tk-xy-latia-19,tk-xy-latia-19,Grass Energy,XY trainer Kit (Latias),19,30,Common,Grass Energy XY trainer Kit (Latias) 19/30 pokemon card,,,
1356,en-tk-xy-latia-2,tk-xy-latia-2,Grass Energy,XY trainer Kit (Latias),2,30,Common,Grass Energy XY trainer Kit (Latias) 2/30 pokemon card,,,
1357,en-tk-xy-latia-20,tk-xy-latia-20,Acro Bike,XY trainer Kit (Latias),20,30,Uncommon,Acro Bike XY trainer Kit (Latias) 20/30 pokemon card,,,
1358,en-tk-xy-latia-21,tk-xy-latia-21,Lombre,XY trainer Kit (Latias),21,30,Uncommon,Lombre XY trainer Kit (Latias) 21/30 pokemon card,,,
1359,en-tk-xy-latia-22,tk-xy-latia-22,Psychic Energy,XY trainer Kit (Latias),22,30,Common,Psychic Energy XY trainer Kit (Latias) 22/30 pokemon card,,,
1360,en-tk-xy-latia-23,tk-xy-latia-23,Lotad,XY trainer Kit (Latias),23,30,Common,Lotad XY trainer Kit (Latias) 23/30 pokemon card,,,
1361,en-tk-xy-latia-24,tk-xy-latia-24,Treecko,XY trainer Kit (Latias),24,30,Common,Treecko XY trainer Kit (Latias) 24/30 pokemon card,,,
1362,en-tk-xy-latia-25,tk-xy-latia-25,Tangrowth,XY trainer Kit (Latias),25,30,Rare,Tangrowth XY trainer Kit (Latias) 25/30 pokemon card,,,
1363,en-tk-xy-latia-26,tk-xy-latia-26,Tangela,XY trainer Kit (Latias),26,30,Common,Tangela XY trainer Kit (Latias) 26/30 pokemon card,,,
1364,en-tk-xy-latia-27,tk-xy-latia-27,Grovyle,XY trainer Kit (Latias),27,30,Uncommon,Grovyle XY trainer Kit (Latias) 27/30 pokemon card,,,
1365,en-tk-xy-latia-28,tk-xy-latia-28,Psychic Energy,XY trainer Kit (Latias),28,30,Common,Psychic Energy XY trainer Kit (Latias) 28/30 pokemon card,,,
1366,en-tk-xy-latia-29,tk-xy-latia-29,Acro Bike,XY trainer Kit (Latias),29,30,Uncommon,Acro Bike XY trainer Kit (Latias) 29/30 pokemon card,,,
1367,en-tk-xy-latia-3,tk-xy-latia-3,Grass Energy,XY trainer Kit (Latias),3,30,Common,Grass Energy XY trainer Kit (Latias) 3/30 pokemon card,,,
1368,en-tk-xy-latia-30,tk-xy-latia-30,Latias,XY trainer Kit (Latias),30,30,None,Latias XY trainer Kit (Latias) 30/30 pokemon card,,,
1369,en-tk-xy-latia-4,tk-xy-latia-4,Fletchling,XY trainer Kit (Latias),4,30,None,Fletchling XY trainer Kit (Latias) 4/30 pokemon card,,,
1370,en-tk-xy-latia-5,tk-xy-latia-5,Grass Energy,XY trainer Kit (Latias),5,30,Common,Grass Energy XY trainer Kit (Latias) 5/30 pokemon card,,,
1371,en-tk-xy-latia-6,tk-xy-latia-6,Lombre,XY trainer Kit (Latias),6,30,Uncommon,Lombre XY trainer Kit (Latias) 6/30 pokemon card,,,
1372,en-tk-xy-latia-7,tk-xy-latia-7,Treecko,XY trainer Kit (Latias),7,30,Common,Treecko XY trainer Kit (Latias) 7/30 pokemon card,,,
1373,en-tk-xy-latia-8,tk-xy-latia-8,Psychic Energy,XY trainer Kit (Latias),8,30,Common,Psychic Energy XY trainer Kit (Latias) 8/30 pokemon card,,,
1374,en-tk-xy-latia-9,tk-xy-latia-9,Psychic Energy,XY trainer Kit (Latias),9,30,Common,Psychic Energy XY trainer Kit (Latias) 9/30 pokemon card,,,
1375,en-tk-xy-latio-1,tk-xy-latio-1,Skitty,XY trainer Kit (Latios),1,30,Common,Skitty XY trainer Kit (Latios) 1/30 pokemon card,,,
1376,en-tk-xy-latio-10,tk-xy-latio-10,Fighting Energy,XY trainer Kit (Latios),10,30,Common,Fighting Energy XY trainer Kit (Latios) 10/30 pokemon card,,,
1377,en-tk-xy-latio-11,tk-xy-latio-11,Machop,XY trainer Kit (Latios),11,30,Common,Machop XY trainer Kit (Latios) 11/30 pokemon card,,,
1378,en-tk-xy-latio-12,tk-xy-latio-12,Solrock,XY trainer Kit (Latios),12,30,Common,Solrock XY trainer Kit (Latios) 12/30 pokemon card,,,
1379,en-tk-xy-latio-13,tk-xy-latio-13,Latios,XY trainer Kit (Latios),13,30,None,Latios XY trainer Kit (Latios) 13/30 pokemon card,,,
1380,en-tk-xy-latio-14,tk-xy-latio-14,Machoke,XY trainer Kit (Latios),14,30,Uncommon,Machoke XY trainer Kit (Latios) 14/30 pokemon card,,,
1381,en-tk-xy-latio-15,tk-xy-latio-15,Rhyhorn,XY trainer Kit (Latios),15,30,Common,Rhyhorn XY trainer Kit (Latios) 15/30 pokemon card,,,
1382,en-tk-xy-latio-16,tk-xy-latio-16,Psychic Energy,XY trainer Kit (Latios),16,30,Common,Psychic Energy XY trainer Kit (Latios) 16/30 pokemon card,,,
1383,en-tk-xy-latio-17,tk-xy-latio-17,Fighting Energy,XY trainer Kit (Latios),17,30,Common,Fighting Energy XY trainer Kit (Latios) 17/30 pokemon card,,,
1384,en-tk-xy-latio-18,tk-xy-latio-18,Psychic Energy,XY trainer Kit (Latios),18,30,Common,Psychic Energy XY trainer Kit (Latios) 18/30 pokemon card,,,
1385,en-tk-xy-latio-19,tk-xy-latio-19,Delcatty,XY trainer Kit (Latios),19,30,Rare,Delcatty XY trainer Kit (Latios) 19/30 pokemon card,,,
1386,en-tk-xy-latio-2,tk-xy-latio-2,Fighting Energy,XY trainer Kit (Latios),2,30,Common,Fighting Energy XY trainer Kit (Latios) 2/30 pokemon card,,,
1387,en-tk-xy-latio-20,tk-xy-latio-20,Acro Bike,XY trainer Kit (Latios),20,30,Uncommon,Acro Bike XY trainer Kit (Latios) 20/30 pokemon card,,,
1388,en-tk-xy-latio-21,tk-xy-latio-21,Potion,XY trainer Kit (Latios),21,30,Common,Potion XY trainer Kit (Latios) 21/30 pokemon card,,,
1389,en-tk-xy-latio-22,tk-xy-latio-22,Machoke,XY trainer Kit (Latios),22,30,Uncommon,Machoke XY trainer Kit (Latios) 22/30 pokemon card,,,
1390,en-tk-xy-latio-23,tk-xy-latio-23,Rhyhorn,XY trainer Kit (Latios),23,30,Common,Rhyhorn XY trainer Kit (Latios) 23/30 pokemon card,,,
1391,en-tk-xy-latio-24,tk-xy-latio-24,Delcatty,XY trainer Kit (Latios),24,30,Rare,Delcatty XY trainer Kit (Latios) 24/30 pokemon card,,,
1392,en-tk-xy-latio-25,tk-xy-latio-25,Rhydon,XY trainer Kit (Latios),25,30,Uncommon,Rhydon XY trainer Kit (Latios) 25/30 pokemon card,,,
1393,en-tk-xy-latio-26,tk-xy-latio-26,Solrock,XY trainer Kit (Latios),26,30,Common,Solrock XY trainer Kit (Latios) 26/30 pokemon card,,,
1394,en-tk-xy-latio-27,tk-xy-latio-27,Skitty,XY trainer Kit (Latios),27,30,Common,Skitty XY trainer Kit (Latios) 27/30 pokemon card,,,
1395,en-tk-xy-latio-28,tk-xy-latio-28,Machop,XY trainer Kit (Latios),28,30,Common,Machop XY trainer Kit (Latios) 28/30 pokemon card,,,
1396,en-tk-xy-latio-29,tk-xy-latio-29,Psychic Energy,XY trainer Kit (Latios),29,30,Common,Psychic Energy XY trainer Kit (Latios) 29/30 pokemon card,,,
1397,en-tk-xy-latio-3,tk-xy-latio-3,Fighting Energy,XY trainer Kit (Latios),3,30,Common,Fighting Energy XY trainer Kit (Latios) 3/30 pokemon card,,,
1398,en-tk-xy-latio-30,tk-xy-latio-30,Latios,XY trainer Kit (Latios),30,30,None,Latios XY trainer Kit (Latios) 30/30 pokemon card,,,
1399,en-tk-xy-latio-4,tk-xy-latio-4,Rhydon,XY trainer Kit (Latios),4,30,Uncommon,Rhydon XY trainer Kit (Latios) 4/30 pokemon card,,,
1400,en-tk-xy-latio-5,tk-xy-latio-5,Fighting Energy,XY trainer Kit (Latios),5,30,Common,Fighting Energy XY trainer Kit (Latios) 5/30 pokemon card,,,
1401,en-tk-xy-latio-6,tk-xy-latio-6,Fighting Energy,XY trainer Kit (Latios),6,30,Common,Fighting Energy XY trainer Kit (Latios) 6/30 pokemon card,,,
1402,en-tk-xy-latio-7,tk-xy-latio-7,Fighting Energy,XY trainer Kit (Latios),7,30,Common,Fighting Energy XY trainer Kit (Latios) 7/30 pokemon card,,,
1403,en-tk-xy-latio-8,tk-xy-latio-8,Fighting Energy,XY trainer Kit (Latios),8,30,Common,Fighting Energy XY trainer Kit (Latios) 8/30 pokemon card,,,
1404,en-tk-xy-latio-9,tk-xy-latio-9,Fighting Energy,XY trainer Kit (Latios),9,30,Common,Fighting Energy XY trainer Kit (Latios) 9/30 pokemon card,,,
1405,en-tk-xy-n-1,tk-xy-n-1,Spoink,XY trainer Kit (Noivern),1,30,Common,Spoink XY trainer Kit (Noivern) 1/30 pokemon card,,,
1406,en-tk-xy-n-10,tk-xy-n-10,Psychic Energy,XY trainer Kit (Noivern),10,30,Common,Psychic Energy XY trainer Kit (Noivern) 10/30 pokemon card,,,
1407,en-tk-xy-n-11,tk-xy-n-11,Pumpkaboo,XY trainer Kit (Noivern),11,30,Common,Pumpkaboo XY trainer Kit (Noivern) 11/30 pokemon card,,,
1408,en-tk-xy-n-12,tk-xy-n-12,Noibat,XY trainer Kit (Noivern),12,30,Common,Noibat XY trainer Kit (Noivern) 12/30 pokemon card,,,
1409,en-tk-xy-n-13,tk-xy-n-13,Noivern,XY trainer Kit (Noivern),13,30,None,Noivern XY trainer Kit (Noivern) 13/30 pokemon card,,,
1410,en-tk-xy-n-14,tk-xy-n-14,Pokémon Catcher,XY trainer Kit (Noivern),14,30,Uncommon,Pokémon Catcher XY trainer Kit (Noivern) 14/30 pokemon card,,,
1411,en-tk-xy-n-15,tk-xy-n-15,Potion,XY trainer Kit (Noivern),15,30,Common,Potion XY trainer Kit (Noivern) 15/30 pokemon card,,,
1412,en-tk-xy-n-16,tk-xy-n-16,Ekans,XY trainer Kit (Noivern),16,30,Common,Ekans XY trainer Kit (Noivern) 16/30 pokemon card,,,
1413,en-tk-xy-n-17,tk-xy-n-17,Psychic Energy,XY trainer Kit (Noivern),17,30,Common,Psychic Energy XY trainer Kit (Noivern) 17/30 pokemon card,,,
1414,en-tk-xy-n-18,tk-xy-n-18,Pumpkaboo,XY trainer Kit (Noivern),18,30,Common,Pumpkaboo XY trainer Kit (Noivern) 18/30 pokemon card,,,
1415,en-tk-xy-n-19,tk-xy-n-19,Darkness Energy,XY trainer Kit (Noivern),19,30,Common,Darkness Energy XY trainer Kit (Noivern) 19/30 pokemon card,,,
1416,en-tk-xy-n-2,tk-xy-n-2,Gourgeist,XY trainer Kit (Noivern),2,30,Rare,Gourgeist XY trainer Kit (Noivern) 2/30 pokemon card,,,
1417,en-tk-xy-n-20,tk-xy-n-20,Furfrou,XY trainer Kit (Noivern),20,30,Common,Furfrou XY trainer Kit (Noivern) 20/30 pokemon card,,,
1418,en-tk-xy-n-21,tk-xy-n-21,Poké Ball,XY trainer Kit (Noivern),21,30,Uncommon,Poké Ball XY trainer Kit (Noivern) 21/30 pokemon card,,,
1419,en-tk-xy-n-22,tk-xy-n-22,Darkness Energy,XY trainer Kit (Noivern),22,30,Common,Darkness Energy XY trainer Kit (Noivern) 22/30 pokemon card,,,
1420,en-tk-xy-n-23,tk-xy-n-23,Noibat,XY trainer Kit (Noivern),23,30,Common,Noibat XY trainer Kit (Noivern) 23/30 pokemon card,,,
1421,en-tk-xy-n-24,tk-xy-n-24,Professor’s Letter,XY trainer Kit (Noivern),24,30,Uncommon,Professor’s Letter XY trainer Kit (Noivern) 24/30 pokemon card,,,
