#,dataset_id,tcgdex_id,card_name,set_name,card_number,set_total,rarity,search_query,image_url,source_page,notes,VERIFIED
18,en-ecard2-H10,ecard2-H10,Exeggutor,Aquapolis,H10,147,Holo Rare,Exeggutor Aquapolis H10/147 pokemon card,https://pkmncards.com/wp-content/uploads/h10-exeggutor-expedition.jpg,https://pkmncards.com/card/exeggutor-aquapolis-aq-h10/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 1b7094683fea06bf.,yes
19,en-ecard2-H11,ecard2-H11,Houndoom,Aquapolis,H11,147,Holo Rare,Houndoom Aquapolis H11/147 pokemon card,https://pkmncards.com/wp-content/uploads/h11-houndoom-expedition.jpg,https://pkmncards.com/card/houndoom-aquapolis-aq-h11/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 87003851cfa1e446.,yes
20,en-ecard2-H12,ecard2-H12,Hypno,Aquapolis,H12,147,Holo Rare,Hypno Aquapolis H12/147 pokemon card,https://pkmncards.com/wp-content/uploads/h12-hypno-expedition.jpg,https://pkmncards.com/card/hypno-aquapolis-aq-h12/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 a7f54474766329bc.,yes
21,en-ecard2-H13,ecard2-H13,Jumpluff,Aquapolis,H13,147,Holo Rare,Jumpluff Aquapolis H13/147 pokemon card,https://pkmncards.com/wp-content/uploads/h13-jumpluff-expedition.jpg,https://pkmncards.com/card/jumpluff-aquapolis-aq-h13/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 c27e0ff512fdb860.,yes
22,en-ecard2-H14,ecard2-H14,Kingdra,Aquapolis,H14,147,Holo Rare,Kingdra Aquapolis H14/147 pokemon card,https://pkmncards.com/wp-content/uploads/h14-kingdra-expedition.jpg,https://pkmncards.com/card/kingdra-aquapolis-aq-h14/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 73797024436e3310.,yes
23,en-ecard2-H15,ecard2-H15,Lanturn,Aquapolis,H15,147,Holo Rare,Lanturn Aquapolis H15/147 pokemon card,https://pkmncards.com/wp-content/uploads/h15-lanturn-expedition.jpg,https://pkmncards.com/card/lanturn-aquapolis-aq-h15/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 0f287bf014f22c45.,yes
24,en-ecard2-H16,ecard2-H16,Magneton,Aquapolis,H16,147,Holo Rare,Magneton Aquapolis H16/147 pokemon card,https://pkmncards.com/wp-content/uploads/h16-magneton-expedition.jpg,https://pkmncards.com/card/magneton-aquapolis-aq-h16/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 832980abe33e006e.,yes
25,en-ecard2-H17,ecard2-H17,Muk,Aquapolis,H17,147,Holo Rare,Muk Aquapolis H17/147 pokemon card,https://pkmncards.com/wp-content/uploads/h17-muk-expedition.jpg,https://pkmncards.com/card/muk-aquapolis-aq-h17/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 03cdc12c80fc9c7c.,yes
26,en-ecard2-H18,ecard2-H18,Nidoking,Aquapolis,H18,147,Holo Rare,Nidoking Aquapolis H18/147 pokemon card,https://pkmncards.com/wp-content/uploads/h18-nidoking-expedition.jpg,https://pkmncards.com/card/nidoking-aquapolis-aq-h18/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 4c753560090686fd.,yes
27,en-ecard2-H19,ecard2-H19,Ninetales,Aquapolis,H19,147,Holo Rare,Ninetales Aquapolis H19/147 pokemon card,https://pkmncards.com/wp-content/uploads/h19-ninetales-expedition.jpg,https://pkmncards.com/card/ninetales-aquapolis-aq-h19/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 5c6810b4f1a06a3e.,yes
28,en-ecard2-H20,ecard2-H20,Octillery,Aquapolis,H20,147,Holo Rare,Octillery Aquapolis H20/147 pokemon card,https://pkmncards.com/wp-content/uploads/h20-octillery-expedition.jpg,https://pkmncards.com/card/octillery-aquapolis-aq-h20/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 306a0f788d459a22.,yes
29,en-ecard2-H21,ecard2-H21,Scizor,Aquapolis,H21,147,Holo Rare,Scizor Aquapolis H21/147 pokemon card,https://pkmncards.com/wp-content/uploads/h21-scizor-expedition.jpg,https://pkmncards.com/card/scizor-aquapolis-aq-h21/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 4cd50eea9cf08226.,yes
30,en-ecard2-H22,ecard2-H22,Slowking,Aquapolis,H22,147,Holo Rare,Slowking Aquapolis H22/147 pokemon card,https://pkmncards.com/wp-content/uploads/h22-slowking-expedition.jpg,https://pkmncards.com/card/slowking-aquapolis-aq-h22/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 fb672423272673b9.,yes
31,en-ecard2-H23,ecard2-H23,Steelix,Aquapolis,H23,147,Holo Rare,Steelix Aquapolis H23/147 pokemon card,https://pkmncards.com/wp-content/uploads/h23-steelix-expedition.jpg,https://pkmncards.com/card/steelix-aquapolis-aq-h23/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 b7f4d8debda74d8c.,yes
32,en-ecard2-H24,ecard2-H24,Sudowoodo,Aquapolis,H24,147,Holo Rare,Sudowoodo Aquapolis H24/147 pokemon card,https://pkmncards.com/wp-content/uploads/h24-sudowoodo-expedition.jpg,https://pkmncards.com/card/sudowoodo-aquapolis-aq-h24/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 ec68e41db82251fc.,yes
33,en-ecard2-H25,ecard2-H25,Suicune,Aquapolis,H25,147,Holo Rare,Suicune Aquapolis H25/147 pokemon card,https://pkmncards.com/wp-content/uploads/h25-suicune-expedition.jpg,https://pkmncards.com/card/suicune-aquapolis-aq-h25/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 f1359bb80e93158e.,yes
34,en-ecard2-H26,ecard2-H26,Tentacruel,Aquapolis,H26,147,Holo Rare,Tentacruel Aquapolis H26/147 pokemon card,https://pkmncards.com/wp-content/uploads/h26-tentacruel-expedition.jpg,https://pkmncards.com/card/tentacruel-aquapolis-aq-h26/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 6c4917197dfde798.,yes
35,en-ecard2-H27,ecard2-H27,Togetic,Aquapolis,H27,147,Holo Rare,Togetic Aquapolis H27/147 pokemon card,https://pkmncards.com/wp-content/uploads/h27-togetic-expedition.jpg,https://pkmncards.com/card/togetic-aquapolis-aq-h27/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 ec4e9e6ac460b987.,yes
36,en-ecard2-H28,ecard2-H28,Tyranitar,Aquapolis,H28,147,Holo Rare,Tyranitar Aquapolis H28/147 pokemon card,https://pkmncards.com/wp-content/uploads/h28-tyranitar-expedition.jpg,https://pkmncards.com/card/tyranitar-aquapolis-aq-h28/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 8710f33b28572a33.,yes
37,en-ecard2-H29,ecard2-H29,Umbreon,Aquapolis,H29,147,Holo Rare,Umbreon Aquapolis H29/147 pokemon card,https://pkmncards.com/wp-content/uploads/h29-umbreon-expedition.jpg,https://pkmncards.com/card/umbreon-aquapolis-aq-h29/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 8b6dedf224cb322f.,yes
38,en-ecard2-H30,ecard2-H30,Victreebel,Aquapolis,H30,147,Holo Rare,Victreebel Aquapolis H30/147 pokemon card,https://pkmncards.com/wp-content/uploads/h30-victreebel-expedition.jpg,https://pkmncards.com/card/victreebel-aquapolis-aq-h30/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 1624d9c0a17eb94d.,yes
39,en-ecard2-H31,ecard2-H31,Vileplume,Aquapolis,H31,147,Holo Rare,Vileplume Aquapolis H31/147 pokemon card,https://pkmncards.com/wp-content/uploads/h31-vileplume-expedition.jpg,https://pkmncards.com/card/vileplume-aquapolis-aq-h31/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 d136c249264a4c81.,yes
40,en-ecard2-H32,ecard2-H32,Zapdos,Aquapolis,H32,147,Holo Rare,Zapdos Aquapolis H32/147 pokemon card,https://pkmncards.com/wp-content/uploads/h32-zapdos-expedition.jpg,https://pkmncards.com/card/zapdos-aquapolis-aq-h32/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct JPEG HTTP 200; SHA-256 36bff6b265aa1ed3.,yes
41,en-swsh10tg-TG01,swsh10tg-TG01,Abomasnow,Astral Radiance Trainer Gallery,TG01,30,Rare,Abomasnow Astral Radiance Trainer Gallery TG01/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG001-abomasnow.png,https://pkmncards.com/card/abomasnow-astral-radiance-asr-tg01/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 87716cccc85e6a36.,yes
42,en-swsh10tg-TG02,swsh10tg-TG02,Flapple,Astral Radiance Trainer Gallery,TG02,30,Rare,Flapple Astral Radiance Trainer Gallery TG02/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG002-flapple.png,https://pkmncards.com/card/flapple-astral-radiance-asr-tg02/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 b784eae1d2e4d2a2.,yes
43,en-swsh10tg-TG03,swsh10tg-TG03,Kingdra,Astral Radiance Trainer Gallery,TG03,30,Rare,Kingdra Astral Radiance Trainer Gallery TG03/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG003-kingdra.png,https://pkmncards.com/card/kingdra-astral-radiance-asr-tg03/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 e1138560ccf5a0fc.,yes
44,en-swsh10tg-TG04,swsh10tg-TG04,Frosmoth,Astral Radiance Trainer Gallery,TG04,30,Rare,Frosmoth Astral Radiance Trainer Gallery TG04/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG004-frosmoth.png,https://pkmncards.com/card/frosmoth-astral-radiance-asr-tg04/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 c33d04a558a6e17e.,yes
45,en-swsh10tg-TG05,swsh10tg-TG05,Gardevoir,Astral Radiance Trainer Gallery,TG05,30,Rare,Gardevoir Astral Radiance Trainer Gallery TG05/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG005-gardevoir.png,https://pkmncards.com/card/gardevoir-astral-radiance-asr-tg05/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 240ac8ff7fd2fbf9.,yes
46,en-swsh10tg-TG06,swsh10tg-TG06,Wyrdeer,Astral Radiance Trainer Gallery,TG06,30,Rare,Wyrdeer Astral Radiance Trainer Gallery TG06/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG006-wyrdeer.png,https://pkmncards.com/card/wyrdeer-astral-radiance-asr-tg06/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 c431dd29916f1833.,yes
47,en-swsh10tg-TG07,swsh10tg-TG07,Falinks,Astral Radiance Trainer Gallery,TG07,30,Rare,Falinks Astral Radiance Trainer Gallery TG07/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG007-falinks.png,https://pkmncards.com/card/falinks-astral-radiance-asr-tg07/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 770853f95bb843a3.,yes
48,en-swsh10tg-TG08,swsh10tg-TG08,Kleavor,Astral Radiance Trainer Gallery,TG08,30,Rare,Kleavor Astral Radiance Trainer Gallery TG08/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG008-kleavor.png,https://pkmncards.com/card/kleavor-astral-radiance-asr-tg08/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 b8bc6ad26924cdcc.,yes
49,en-swsh10tg-TG09,swsh10tg-TG09,Mightyena,Astral Radiance Trainer Gallery,TG09,30,Rare,Mightyena Astral Radiance Trainer Gallery TG09/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG009-mightyena.png,https://pkmncards.com/card/mightyena-astral-radiance-asr-tg09/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 10bdddb4e91f70eb.,yes
50,en-swsh10tg-TG10,swsh10tg-TG10,Galarian Obstagoon,Astral Radiance Trainer Gallery,TG10,30,Rare,Galarian Obstagoon Astral Radiance Trainer Gallery TG10/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG010-galarian_obstagoon.png,https://pkmncards.com/card/galarian-obstagoon-astral-radiance-asr-tg10/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 a6302b0f173e17f8.,yes
51,en-swsh10tg-TG11,swsh10tg-TG11,Bronzong,Astral Radiance Trainer Gallery,TG11,30,Rare,Bronzong Astral Radiance Trainer Gallery TG11/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG011-bronzong.png,https://pkmncards.com/card/bronzong-astral-radiance-asr-tg11/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 5a65d65ca07cfa67.,yes
52,en-swsh10tg-TG12,swsh10tg-TG12,Hoothoot,Astral Radiance Trainer Gallery,TG12,30,Rare,Hoothoot Astral Radiance Trainer Gallery TG12/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG012-hoothoot.png,https://pkmncards.com/card/hoothoot-astral-radiance-asr-tg12/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 7f2c59a90e98867e.,yes
53,en-swsh10tg-TG13,swsh10tg-TG13,Starmie V,Astral Radiance Trainer Gallery,TG13,30,Ultra Rare,Starmie V Astral Radiance Trainer Gallery TG13/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG013-starmie_v.png,https://pkmncards.com/card/starmie-v-astral-radiance-asr-tg13/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 ebae02a6b49a80b1.,yes
54,en-swsh10tg-TG14,swsh10tg-TG14,Ice Rider Calyrex V,Astral Radiance Trainer Gallery,TG14,30,Ultra Rare,Ice Rider Calyrex V Astral Radiance Trainer Gallery TG14/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG014-ice_rider_calyrex_v.png,https://pkmncards.com/card/ice-rider-calyrex-v-astral-radiance-asr-tg14/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 1fa47e7168561476.,yes
55,en-swsh10tg-TG15,swsh10tg-TG15,Ice Rider Calyrex VMAX,Astral Radiance Trainer Gallery,TG15,30,Ultra Rare,Ice Rider Calyrex VMAX Astral Radiance Trainer Gallery TG15/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG015-ice_rider_calyrex_vmax.png,https://pkmncards.com/card/ice-rider-calyrex-vmax-astral-radiance-asr-tg15/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 2f885342ac159b25.,yes
56,en-swsh10tg-TG16,swsh10tg-TG16,Galarian Articuno V,Astral Radiance Trainer Gallery,TG16,30,Ultra Rare,Galarian Articuno V Astral Radiance Trainer Gallery TG16/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG016-galarian_articuno_v.png,https://pkmncards.com/card/galarian-articuno-v-astral-radiance-asr-tg16/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 a0cabe9cce22c1a8.,yes
57,en-swsh10tg-TG17,swsh10tg-TG17,Shadow Rider Calyrex V,Astral Radiance Trainer Gallery,TG17,30,Ultra Rare,Shadow Rider Calyrex V Astral Radiance Trainer Gallery TG17/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG017-shadow_rider_calyrex_v.png,https://pkmncards.com/card/shadow-rider-calyrex-v-astral-radiance-asr-tg17/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 fab07e16de63b00b.,yes
58,en-swsh10tg-TG18,swsh10tg-TG18,Shadow Rider Calyrex VMAX,Astral Radiance Trainer Gallery,TG18,30,Ultra Rare,Shadow Rider Calyrex VMAX Astral Radiance Trainer Gallery TG18/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG018-shadow_rider_calyrex_vmax.png,https://pkmncards.com/card/shadow-rider-calyrex-vmax-astral-radiance-asr-tg18/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 99cf0b3246859d14.,yes
59,en-swsh10tg-TG19,swsh10tg-TG19,Galarian Zapdos V,Astral Radiance Trainer Gallery,TG19,30,Ultra Rare,Galarian Zapdos V Astral Radiance Trainer Gallery TG19/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG019-galarian_zapdos_v.png,https://pkmncards.com/card/galarian-zapdos-v-astral-radiance-asr-tg19/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 dbce01a10de2bcd6.,yes
60,en-swsh10tg-TG20,swsh10tg-TG20,Galarian Moltres V,Astral Radiance Trainer Gallery,TG20,30,Ultra Rare,Galarian Moltres V Astral Radiance Trainer Gallery TG20/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG020-galarian_moltres_v.png,https://pkmncards.com/card/galarian-moltres-v-astral-radiance-asr-tg20/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 d87e511b3c9dbf3f.,yes
61,en-swsh10tg-TG21,swsh10tg-TG21,Zacian V,Astral Radiance Trainer Gallery,TG21,30,Ultra Rare,Zacian V Astral Radiance Trainer Gallery TG21/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG021-zacian_v.png,https://pkmncards.com/card/zacian-v-astral-radiance-asr-tg21/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 88314480a9acf39b.,yes
62,en-swsh10tg-TG22,swsh10tg-TG22,Zamazenta V,Astral Radiance Trainer Gallery,TG22,30,Ultra Rare,Zamazenta V Astral Radiance Trainer Gallery TG22/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG022-zamazenta_v.png,https://pkmncards.com/card/zamazenta-v-astral-radiance-asr-tg22/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 0a04536d8d11a399.,yes
63,en-swsh10tg-TG23,swsh10tg-TG23,Garchomp V,Astral Radiance Trainer Gallery,TG23,30,Ultra Rare,Garchomp V Astral Radiance Trainer Gallery TG23/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG023-garchomp_v.png,https://pkmncards.com/card/garchomp-v-astral-radiance-asr-tg23/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 9b20b3157af6f35a.,yes
64,en-swsh10tg-TG24,swsh10tg-TG24,Allister,Astral Radiance Trainer Gallery,TG24,30,Ultra Rare,Allister Astral Radiance Trainer Gallery TG24/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG024-allister.png,https://pkmncards.com/card/allister-astral-radiance-asr-tg24/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 1ebc030afe97f527.,yes
65,en-swsh10tg-TG25,swsh10tg-TG25,Bea,Astral Radiance Trainer Gallery,TG25,30,Ultra Rare,Bea Astral Radiance Trainer Gallery TG25/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG025-bea.png,https://pkmncards.com/card/bea-astral-radiance-asr-tg25/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 18d68f7cf0eb0ca3.,yes
66,en-swsh10tg-TG26,swsh10tg-TG26,Melony,Astral Radiance Trainer Gallery,TG26,30,Ultra Rare,Melony Astral Radiance Trainer Gallery TG26/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG026-melony.png,https://pkmncards.com/card/melony-astral-radiance-asr-tg26/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 7719fe241f3ebd4c.,yes
67,en-swsh10tg-TG27,swsh10tg-TG27,Milo,Astral Radiance Trainer Gallery,TG27,30,Ultra Rare,Milo Astral Radiance Trainer Gallery TG27/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG027-milo.png,https://pkmncards.com/card/milo-astral-radiance-asr-tg27/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 0d13185f7c433fd2.,yes
68,en-swsh10tg-TG28,swsh10tg-TG28,Piers,Astral Radiance Trainer Gallery,TG28,30,Ultra Rare,Piers Astral Radiance Trainer Gallery TG28/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG028-piers.png,https://pkmncards.com/card/piers-astral-radiance-asr-tg28/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 41fd1e2446d4620d.,yes
69,en-swsh10tg-TG29,swsh10tg-TG29,Ice Rider Calyrex VMAX,Astral Radiance Trainer Gallery,TG29,30,Secret Rare,Ice Rider Calyrex VMAX Astral Radiance Trainer Gallery TG29/30 pokemon card,https://pkmncards.com/wp-content/uploads/en_US-SWSH10-TG029-ice_rider_calyrex_vmax.png,https://pkmncards.com/card/ice-rider-calyrex-vmax-astral-radiance-asr-tg29/,Exact name/set/print matched on pkmncards.com; source page HTTP 200; direct PNG HTTP 200; SHA-256 24dd3e8959ccdb76.,yes
